[Header],
System,TOC-L syringe sparge,
S/W Version,1.00,
User,apaters1,
Date/Time,12/1/2022 10:35:38 AM,

[System],
Instrument Options,TOC/ASI/IC Unit/TN/Sparge Kit/,
Catalyst,Saline,
Cell Length,long,

[Data],
Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,Inj. Vol.,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 5:56:05 PM,1,4,NPOC,4.127,0.7175,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:42:55 PM,1,1,TN,0.5895,0.8245,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:47:28 PM,1,2,TN,1.688,0.9298,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,1,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:51:45 PM,1,3,TN,0.5626,0.8219,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50,
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 5:56:05 PM,1,4,TN,0.5255,0.8183,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:04:55 PM,1,1,NPOC,3.620,0.6110,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,1,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:09:31 PM,1,2,NPOC,5.276,0.9587,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:13:50 PM,1,3,NPOC,5.193,0.9413,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:18:21 PM,1,4,NPOC,4.946,0.8894,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:04:55 PM,1,1,TN,1.377,0.9000,NPOC:0.9298mg/L TN:0.9125mg/L,0.2830,18.77,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:09:31 PM,1,2,TN,2.197,0.9786,NPOC:0.9298mg/L TN:0.9125mg/L,0.2830,18.77,1,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:13:50 PM,1,3,TN,1.313,0.8939,NPOC:0.9298mg/L TN:0.9125mg/L,0.2830,18.77,0,50,
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:18:21 PM,1,4,TN,1.832,0.9436,NPOC:0.9298mg/L TN:0.9125mg/L,0.2830,18.77,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:27:19 PM,1,1,NPOC,26.43,5.400,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,1,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:31:37 PM,1,2,NPOC,29.80,6.107,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:35:55 PM,1,3,NPOC,29.59,6.063,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:40:14 PM,1,4,NPOC,29.19,5.979,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:27:19 PM,1,1,TN,1.821,0.9426,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:31:37 PM,1,2,TN,3.967,1.148,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,1,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:35:55 PM,1,3,TN,1.831,0.9435,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50,
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:40:14 PM,1,4,TN,2.441,1.002,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:49:43 PM,1,1,NPOC,23.28,4.739,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,1,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:54:01 PM,1,2,NPOC,27.00,5.520,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 6:58:25 PM,1,3,NPOC,25.51,5.207,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:02:54 PM,1,4,NPOC,25.66,5.238,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:49:43 PM,1,1,TN,2.500,1.008,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:54:01 PM,1,2,TN,3.117,1.067,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,1,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 6:58:25 PM,1,3,TN,2.189,0.9779,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50,
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:02:54 PM,1,4,TN,2.327,0.9911,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:11:42 PM,1,1,NPOC,3.520,0.5900,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:16:11 PM,1,2,NPOC,2.919,0.4638,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,1,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:20:47 PM,1,3,NPOC,3.531,0.5923,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:25:05 PM,1,4,NPOC,3.154,0.5132,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:11:42 PM,1,1,TN,0.2000,0.7871,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,1,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:16:11 PM,1,2,TN,2.341,0.9924,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:20:47 PM,1,3,TN,1.082,0.8717,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50,
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:25:05 PM,1,4,TN,1.589,0.9203,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:33:53 PM,1,1,NPOC,18.71,3.779,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,1,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:38:11 PM,1,2,NPOC,22.14,4.499,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:42:59 PM,1,3,NPOC,20.86,4.231,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:47:17 PM,1,4,NPOC,21.24,4.310,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:33:53 PM,1,1,TN,0.9895,0.8628,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,1,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:38:11 PM,1,2,TN,2.370,0.9952,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:42:59 PM,1,3,TN,1.587,0.9201,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50,
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1.00,,11/16/2022 7:47:17 PM,1,4,TN,1.851,0.9455,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50,
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 7:56:05 PM,1,1,NPOC,41.93,8.654,NPOC:9.322mg/L TN:1.184mg/L,0.6730,1.49,1,50,
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 8:00:41 PM,1,2,NPOC,44.84,9.265,NPOC:9.322mg/L TN:1.184mg/L,0.6730,1.49,0,50,
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1.00,,11/16/2022 8:05:03 PM,1,3,NPOC,45.88,9.483,NPOC:9.322mg/L TN:1.184mg/L,0.6730,1.49,0,50,
