Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,inj_vol
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:29,1,3,NPOC,2.716,0.4212,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,1,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:34,1,4,NPOC,3.128,0.5077,NPOC:0.7138mg/L TN:0.8774mg/L,0.8512,20.71,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:21,1,1,TN,4.134,1.164,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,1,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:25,1,2,TN,1.675,0.9286,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:29,1,3,TN,1.087,0.8722,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50
Unknown,NPOC/TN,DI Water (purge),DI Water (purge),C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:34,1,4,TN,0.6637,0.8316,NPOC:0.7138mg/L TN:0.8774mg/L,0.5079,44.48,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:42,1,1,NPOC,3.434,0.572,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:47,1,2,NPOC,5.178,0.9381,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,1,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:51,1,3,NPOC,3.869,0.6633,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 17:56,1,4,NPOC,4.127,0.7175,NPOC:0.6509mg/L TN:0.8216mg/L,0.3502,9.19,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:42,1,1,TN,0.5895,0.8245,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:47,1,2,TN,1.688,0.9298,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,1,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:51,1,3,TN,0.5626,0.8219,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50
Unknown,NPOC/TN,Rooney_MilliQ DI Water,Rooney_MilliQ DI Water,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 17:56,1,4,TN,0.5255,0.8183,NPOC:0.6509mg/L TN:0.8216mg/L,0.03214,5.75,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:04,1,1,NPOC,3.62,0.611,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,1,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:09,1,2,NPOC,5.276,0.9587,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:13,1,3,NPOC,5.193,0.9413,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:18,1,4,NPOC,4.946,0.8894,NPOC:0.9298mg/L TN:0.9125mg/L,0.1717,3.34,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:04,1,1,TN,1.377,0.9,NPOC:0.9298mg/L TN:0.9125mg/L,0.283,18.77,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:09,1,2,TN,2.197,0.9786,NPOC:0.9298mg/L TN:0.9125mg/L,0.283,18.77,1,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:13,1,3,TN,1.313,0.8939,NPOC:0.9298mg/L TN:0.9125mg/L,0.283,18.77,0,50
Unknown,NPOC/TN,174_4x,174,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:18,1,4,TN,1.832,0.9436,NPOC:0.9298mg/L TN:0.9125mg/L,0.283,18.77,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:27,1,1,NPOC,26.43,5.4,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,1,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:31,1,2,NPOC,29.8,6.107,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:35,1,3,NPOC,29.59,6.063,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:40,1,4,NPOC,29.19,5.979,NPOC:6.050mg/L TN:0.9627mg/L,0.3099,1.05,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:27,1,1,TN,1.821,0.9426,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:31,1,2,TN,3.967,1.148,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,1,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:35,1,3,TN,1.831,0.9435,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50
Unknown,NPOC/TN,171_4x,171,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:40,1,4,TN,2.441,1.002,NPOC:6.050mg/L TN:0.9627mg/L,0.3551,17.48,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:49,1,1,NPOC,23.28,4.739,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,1,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:54,1,2,NPOC,27,5.52,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 18:58,1,3,NPOC,25.51,5.207,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:02,1,4,NPOC,25.66,5.238,NPOC:5.322mg/L TN:0.9922mg/L,0.8204,3.15,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:49,1,1,TN,2.5,1.008,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:54,1,2,TN,3.117,1.067,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,1,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 18:58,1,3,TN,2.189,0.9779,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50
Unknown,NPOC/TN,168_4x,168,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:02,1,4,TN,2.327,0.9911,NPOC:5.322mg/L TN:0.9922mg/L,0.1558,6.66,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:11,1,1,NPOC,3.52,0.59,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:16,1,2,NPOC,2.919,0.4638,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,1,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:20,1,3,NPOC,3.531,0.5923,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:25,1,4,NPOC,3.154,0.5132,NPOC:0.5652mg/L TN:0.9282mg/L,0.2146,6.31,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:11,1,1,TN,0.2,0.7871,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,1,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:16,1,2,TN,2.341,0.9924,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:20,1,3,TN,1.082,0.8717,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50
Unknown,NPOC/TN,25_4x,25,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:25,1,4,TN,1.589,0.9203,NPOC:0.5652mg/L TN:0.9282mg/L,0.6335,37.92,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:33,1,1,NPOC,18.71,3.779,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,1,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:38,1,2,NPOC,22.14,4.499,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:42,1,3,NPOC,20.86,4.231,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:47,1,4,NPOC,21.24,4.31,NPOC:4.347mg/L TN:0.9536mg/L,0.6574,3.07,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:33,1,1,TN,0.9895,0.8628,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,1,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:38,1,2,TN,2.37,0.9952,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:42,1,3,TN,1.587,0.9201,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50
Unknown,NPOC/TN,1_4x,1,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:47,1,4,TN,1.851,0.9455,NPOC:4.347mg/L TN:0.9536mg/L,0.3984,20.58,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 19:56,1,1,NPOC,41.93,8.654,NPOC:9.322mg/L TN:1.184mg/L,0.673,1.49,1,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 20:00,1,2,NPOC,44.84,9.265,NPOC:9.322mg/L TN:1.184mg/L,0.673,1.49,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 20:05,1,3,NPOC,45.88,9.483,NPOC:9.322mg/L TN:1.184mg/L,0.673,1.49,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,11/16/2022 20:09,1,4,NPOC,44.62,9.219,NPOC:9.322mg/L TN:1.184mg/L,0.673,1.49,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 19:56,1,1,TN,4.168,1.168,NPOC:9.322mg/L TN:1.184mg/L,0.2076,4.78,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 20:00,1,2,TN,4.287,1.179,NPOC:9.322mg/L TN:1.184mg/L,0.2076,4.78,0,50
Unknown,NPOC/TN,24_4x,24,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,11/16/2022 20:05,1,3,TN,4.572,1.206,NPOC:9.322mg/L TN:1.184mg/L,0.2076,4.78,0,50
