Date,Area,Site,Plot,Plot_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Average,Std.Dev.
27-Jun-22,East,Hydric,2,E-H2,26,25,27,16,25,18,12,21,19,20,14,13,29,24,19,21,5
27-Jun-22,East,Hydric,3,E-H3,13,16,16,13,21,30,29,31,23,11,12,17,11,16,8,18,7
29-Jun-22,West,Dry,1,W-D1,15,16,18,16,13,12,14,11,13,14,17,14,20,8,,14,3
29-Jun-22,West,Dry,2,W-D2,12,17,20,17,21,11,11,24,12,19,21,14,20,22,21,17,4
29-Jun-22,West,Dry,3,W-D3,12,13,14,12,16,20,10,11,12,11,11,12,13,18,10,13,3
29-Jun-22,West,Mesic,1,W-M1,14,19,11,18,14,16,19,17,20,17,16,20,23,14,17,17,3
29-Jun-22,West,Mesic,2,W-M2,20,17,19,26,22,16,19,19,15,19,20,10,20,20,18,19,3
29-Jun-22,West,Mesic,3,W-M3,25,24,22,23,15,15,10,25,17,26,27,19,21,20,21,21,5
29-Jun-22,West,Hydric,1,W-H1,40,19,32,25,31,38,38,30,33,28,31,27,32,42,37,32,6
29-Jun-22,West,Hydric,2,W-H2,28,31,37,31,28,32,30,34,32,28,35,37,27,33,28,31,3
29-Jun-22,West,Hydric,3,W-H3,33,29,30,19,18,31,32,37,30,33,27,20,24,28,27,28,6
6-Jul-22,East,Dry,1,E-D1,38,42,36,39,10,29,33,50,14,15,14,16,13,34,8,26,14
6-Jul-22,East,Dry,2,E-D2,39,27,28,21,23,24,23,14,15,45,15,56,41,23,33,28,12
6-Jul-22,East,Dry,3,E-D3,69,60,38,23,32,27,6,45,18,19,37,46,23,14,31,33,17
6-Jul-22,East,Mesic,1,E-M1,28,38,21,40,20,25,34,44,28,25,37,15,31,28,23,29,8
6-Jul-22,East,Mesic,2,E-M2,39,38,16,24,40,16,34,68,42,38,16,47,33,20,52,35,15
6-Jul-22,East,Mesic,3,E-M3,43,28,31,53,17,42,19,16,31,40,32,51,23,28,22,32,12
6-Jul-22,East,Hydric,1,E-H1,26,19,22,24,20,30,32,28,27,19,25,27,23,29,23,27,4
6-Jul-22,East,Hydric,2,E-H2,25,36,24,20,30,24,21,26,33,34,39,41,36,18,26,29,7
6-Jul-22,East,Hydric,3,E-H3,21,20,31,36,28,32,35,14,25,18,15,14,13,21,32,24,8
7-Jul-22,West,Dry,1,W-D1,30,18,26,25,25,25,26,25,28,25,23,29,35,24,21,26,4
7-Jul-22,West,Dry,2,W-D2,31,19,20,21,31,23,24,27,29,27,17,35,22,27,21,25,5
7-Jul-22,West,Dry,3,W-D3,24,25,21,23,21,19,25,23,26,22,28,23,18,24,25,23,3
7-Jul-22,West,Mesic,1,W-M1,31,25,20,37,39,24,29,25,24,17,22,25,24,21,31,26,6
7-Jul-22,West,Mesic,2,W-M2,33,26,23,21,15,28,31,31,20,30,28,24,36,34,31,27,6
7-Jul-22,West,Mesic,3,W-M3,37,40,38,42,40,33,26,35,21,31,24,22,37,31,26,32,7
7-Jul-22,West,Hydric,1,W-H1,35,45,52,51,46,28,27,45,48,40,43,44,47,49,31,42,8
7-Jul-22,West,Hydric,2,W-H2,31,30,41,29,30,33,33,34,31,32,38,37,33,41,31,34,4
7-Jul-22,West,Hydric,3,W-H3,34,32,27,34,29,30,28,31,35,34,32,29,39,34,30,32,3
11-Jul-22,East,Dry,1,E-D1,30,35,31,57,25,57,51,46,57,52,48,17,26,52,,42,14
11-Jul-22,East,Dry,2,E-D2,34,26,69,23,26,38,40,43,23,15,4,25,34,34,21,30,15
11-Jul-22,East,Dry,3,E-D3,33,15,31,16,37,46,48,52,20,14,31,21,25,20,16,28,13
11-Jul-22,East,Mesic,1,E-M1,65,44,35,63,49,50,26,20,22,26,64,68,22,39,51,43,17
11-Jul-22,East,Mesic,2,E-M2,55,40,57,34,31,32,39,28,36,39,32,70,39,33,60,42,13
11-Jul-22,East,Mesic,3,E-M3,48,30,20,28,22,35,49,26,16,44,22,28,23,43,53,32,12
11-Jul-22,East,Hydric,1,E-H1,24,23,24,22,30,22,23,35,27,24,28,26,33,26,38,27,5
11-Jul-22,East,Hydric,2,E-H2,30,31,33,26,34,41,30,32,33,29,44,28,38,28,26,32,5
11-Jul-22,East,Hydric,3,E-H3,26,27,30,19,25,42,21,22,23,21,29,51,32,19,27,28,9
12-Jul-22,West,Dry,1,W-D1,26,23,27,33,26,36,35,24,32,30,29,29,34,31,32,30,4
12-Jul-22,West,Dry,2,W-D2,31,39,28,31,26,24,32,35,29,30,29,22,30,32,26,30,4
12-Jul-22,West,Dry,3,W-D3,27,25,33,23,24,24,27,24,22,23,29,32,29,32,24,27,4
12-Jul-22,West,Mesic,1,W-M1,31,29,24,28,34,32,20,30,30,35,36,24,29,30,31,30,4
12-Jul-22,West,Mesic,2,W-M2,25,18,40,40,28,35,31,26,33,22,27,33,30,27,37,30,6
12-Jul-22,West,Mesic,3,W-M3,37,40,34,27,34,31,20,35,27,30,32,38,39,33,39,33,5
12-Jul-22,West,Hydric,1,W-H1,40,27,28,39,37,42,49,61,60,59,60,50,41,51,58,47,12
12-Jul-22,West,Hydric,2,W-H2,38,42,38,41,47,36,36,40,37,35,38,42,35,29,28,37,5
12-Jul-22,West,Hydric,3,W-H3,54,42,42,38,29,31,36,46,42,41,37,35,39,51,33,40,7
18-Jul-22,East,Dry,1,E-D1,32,16,28,31,27,26,45,12,30,50,41,44,30,45,32,33,11
18-Jul-22,East,Dry,2,E-D2,38,60,35,29,34,43,17,22,34,38,22,45,14,30,21,32,12
18-Jul-22,East,Dry,3,E-D3,41,28,31,12,20,24,30,37,56,24,42,48,50,23,42,34,12
18-Jul-22,East,Mesic,1,E-M1,21,66,59,52,32,29,24,38,43,45,56,22,56,42,23,41,15
18-Jul-22,East,Mesic,2,E-M2,30,68,57,25,23,37,36,34,29,59,76,71,50,49,57,47,17
18-Jul-22,East,Mesic,3,E-M3,21,66,59,52,32,29,24,38,43,45,56,22,56,42,23,41,15
18-Jul-22,East,Hydric,1,E-H1,29,33,30,27,26,21,20,22,18,25,34,29,29,25,15,26,5
18-Jul-22,East,Hydric,2,E-H2,32,37,40,28,48,30,27,31,41,60,35,26,44,46,32,37,9
18-Jul-22,East,Hydric,3,E-H3,26,19,21,18,15,18,39,42,28,19,27,19,21,40,47,27,10
19-Jul-22,West,Dry,1,W-D1,30,30,20,32,32,18,24,27,28,20,36,30,24,26,31,27,5
19-Jul-22,West,Dry,2,W-D2,29,27,37,15,30,31,28,22,27,25,26,23,24,24,27,26,5
19-Jul-22,West,Dry,3,W-D3,22,26,21,33,22,24,25,19,26,23,23,27,20,24,27,24,3
19-Jul-22,West,Mesic,1,W-M1,41,31,34,29,52,31,25,31,30,49,27,41,26,23,32,33,9
19-Jul-22,West,Mesic,2,W-M2,31,40,34,34,32,24,11,27,59,29,30,42,50,36,52,35,12
19-Jul-22,West,Mesic,3,W-M3,39,36,35,41,31,39,21,43,28,15,40,32,32,35,40,34,8
19-Jul-22,West,Hydric,1,W-H1,25,53,56,52,52,55,45,52,50,60,47,56,58,50,50,51,8
19-Jul-22,West,Hydric,2,W-H2,45,40,41,44,44,40,50,51,44,39,40,45,53,46,47,45,4
19-Jul-22,West,Hydric,3,W-H3,59,45,53,44,40,36,39,45,46,52,47,47,33,41,48,45,7
25-Jul-22,East,Dry,1,E-D1,41,42,39,24,16,14,20,32,39,42,22,31,24,36,38,31,10
25-Jul-22,East,Dry,2,E-D2,34,41,18,58,32,40,29,41,41,45,53,32,40,37,29,38,10
25-Jul-22,East,Dry,3,E-D3,61,48,54,30,29,16,53,44,39,38,58,56,29,33,41,42,13
25-Jul-22,East,Mesic,1,E-M1,44,58,36,57,51,35,25,26,43,64,30,49,68,50,33,45,14
25-Jul-22,East,Mesic,2,E-M2,42,53,54,47,24,42,49,71,74,40,38,36,63,35,41,47,14
25-Jul-22,East,Mesic,3,E-M3,30,64,43,28,33,27,47,56,43,25,45,22,28,40,20,37,13
25-Jul-22,East,Hydric,1,E-H1,37,38,25,22,21,19,20,26,23,25,31,32,31,29,24,27,6
25-Jul-22,East,Hydric,2,E-H2,37,35,34,47,36,49,37,31,43,35,48,45,53,54,39,42,7
25-Jul-22,East,Hydric,3,E-H3,18,27,30,26,32,44,30,43,29,29,42,40,34,20,20,31,8
26-Jul-22,West,Dry,1,E-D1,37,31,44,43,41,41,32,36,26,35,38,39,31,31,41,36,5
26-Jul-22,West,Dry,2,E-D2,31,21,47,38,35,39,40,38,32,40,34,33,30,37,47,36,7
26-Jul-22,West,Dry,3,E-D3,33,26,29,36,32,25,31,31,28,33,26,32,34,30,30,30,3
26-Jul-22,West,Mesic,1,E-M1,30,28,27,28,40,20,26,28,32,26,25,29,20,36,33,29,5
26-Jul-22,West,Mesic,2,E-M2,27,38,53,14,45,40,31,23,43,64,57,30,28,31,44,38,14
26-Jul-22,West,Mesic,3,E-M3,39,31,21,41,37,33,38,42,30,33,40,44,32,26,30,34,6
26-Jul-22,West,Hydric,1,E-H1,47,60,57,56,60,56,67,52,56,51,55,59,65,73,65,59,7
26-Jul-22,West,Hydric,2,E-H2,42,48,49,40,43,50,49,48,40,35,32,31,40,45,52,43,7
26-Jul-22,West,Hydric,3,E-H3,50,41,37,32,33,37,39,55,53,44,49,43,49,46,38,43,7
7-Aug-22,West,Dry,1,E-D1,38,31,38,40,41,39,41,40,34,37,28,25,32,25,43,35,6
7-Aug-22,West,Dry,2,E-D2,30,40,36,42,31,31,44,46,30,32,25,40,32,35,27,35,6
7-Aug-22,West,Dry,3,E-D3,23,41,27,30,28,28,29,30,30,25,37,29,29,34,31,30,4
7-Aug-22,West,Mesic,1,E-M1,24,45,38,30,57,34,30,62,47,34,36,35,38,25,35,38,11
7-Aug-22,West,Mesic,2,E-M2,31,60,53,26,14,32,38,32,27,26,33,28,40,26,36,33,11
7-Aug-22,West,Mesic,3,E-M3,50,37,25,39,32,34,38,50,43,41,40,27,60,58,36,41,10
7-Aug-22,West,Hydric,1,E-H1,52,56,60,65,75,65,61,58,61,52,44,39,55,66,66,58,9
7-Aug-22,West,Hydric,2,E-H2,46,46,45,48,47,50,42,45,50,44,53,46,32,45,46,46,5
7-Aug-22,West,Hydric,3,E-H3,52,58,44,42,40,35,38,44,48,54,50,42,51,47,38,46,7
8-Aug-22,East,Dry,1,W-D1,3,64,54,56,53,12,41,56,56,46,19,16,45,43,56,41,19
8-Aug-22,East,Dry,2,W-D2,65,54,43,53,28,12,22,76,53,47,38,64,54,52,45,47,17
8-Aug-22,East,Dry,3,W-D3,29,41,31,22,21,1,15,23,37,51,58,46,37,43,18,32,15
8-Aug-22,East,Mesic,1,W-M1,26,65,44,70,36,38,34,24,28,63,60,60,70,61,40,48,17
8-Aug-22,East,Mesic,2,W-M2,48,40,44,32,47,61,30,39,36,77,73,63,41,26,48,47,15
8-Aug-22,East,Mesic,3,W-M3,56,48,32,56,26,51,33,38,19,63,50,52,37,29,37,42,13
8-Aug-22,East,Hydric,1,W-H1,35,27,21,24,27,22,28,26,20,25,23,31,33,34,31,27,5
8-Aug-22,East,Hydric,2,W-H2,40,42,35,48,40,52,40,53,51,42,38,20,41,43,52,42,8
8-Aug-22,East,Hydric,3,W-H3,30,25,30,23,45,36,31,31,48,27,33,40,49,40,31,35,8
