penn_state_ID,PhIr_ID,Al_ug_ml,Ca_ug_ml,Fe_ug_ml,K_ug_ml,Mg_ug_ml,Mn_ug_ml,Na_ug_ml,P_ug_ml
23-3785,24 - 18-July-2022_eastdry_2_rhizon_hcl,0.05,0.54,0.24,0.03,0.07,0.01,0.01,0.005
23-3786,25 - 18-July-2022_eastdry_3_rhizon_hcl,0.05,0.52,0.04,0.04,0.1,0.02,0.03,0.005
23-3787,26 - 18-July-2022_eastmesic_1_rhizon_hcl,0.04,0.34,0.21,0.04,0.08,0.0025,0.005,0.005
23-3788,27 - 18-July-2022_eastmesic_2_rhizon_hcl,0.08,0.89,0.92,0.24,0.21,0.04,0.05,0.005
23-3789,28 - 18-July-2022_eastmesic_3_rhizon_hcl,0.03,0.43,1.33,0.15,0.09,0.03,0.04,0.005
23-3790,29 - 18-July-2022_easthydric_1_rhizon_hcl,0.04,0.31,0.2,0.03,0.07,0.01,0.01,0.005
23-3791,30 - 18-July-2022_easthydric_2_rhizon_hcl,0.05,0.53,0.34,0.04,0.1,0.04,0.05,0.005
23-3792,31 - 18-July-2022_easthydric_3_rhizon_hcl,0.06,0.77,0.67,0.09,0.17,0.64,0.83,0.005
23-3793,32 - 18-July-2022_east_T1_rhizon_hcl,0.05,0.41,0.27,0.03,0.07,0.0025,0.005,0.005
23-3794,33 - 18-July-2022_east_T2_rhizon_hcl,0.03,0.69,0.18,0.04,0.12,0.0025,0.005,0.005
23-3795,34 - 18-July-2022_east_T3_rhizon_hcl,0.04,0.91,0.19,0.06,0.13,0.01,0.01,0.005
23-3796,35 - 18-July-2022_east_T4_rhizon_hcl,0.005,0.27,0.12,0.16,0.03,0.01,0.01,0.005
23-3797,36 - 18-July-2022_east_T5_rhizon_hcl,0.03,0.5,0.09,0.73,0.1,0.06,0.07,0.005
23-3798,37 - 18-July-2022_east_T6_rhizon_hcl,0.06,0.4,0.44,0.09,0.1,0.11,0.15,0.01
23-3799,38 - 18-July-2022_east_T7_rhizon_hcl,0.07,0.37,0.09,0.03,0.09,0.02,0.03,0.01
23-3800,39 - 18-July-2022_east_T8_rhizon_hcl,0.06,0.68,0.33,0.07,0.16,0.04,0.05,0.01
23-3801,40 - 18-July-2022_east_T9_rhizon_hcl,0.04,0.3,0.21,0.05,0.08,0.0025,0.005,0.005
23-3802,41 - 18-July-2022_east_T10_rhizon_hcl,0.06,0.4,0.25,0.05,0.1,0.01,0.01,0.005
23-3803,42 - 18-July-2022_east_T11_rhizon_hcl,0.04,0.49,0.16,0.03,0.11,0.01,0.01,0.005
23-3804,43 - 18-July-2022_east_T12_rhizon_hcl,0.05,0.31,0.22,0.03,0.08,0.01,0.01,0.005
23-3805,44 - 18-July-2022_east_T13_rhizon_hcl,0.04,0.4,0.21,0.3,0.08,0.01,0.01,0.005
23-3806,45 - 19-July-2022_westdry_1_rhizon_hcl,0.005,1.71,0.09,0.02,0.23,0.0025,0.005,0.005
23-3807,46 - 19-July-2022_westdry_2_rhizon_hcl,0.01,1.17,0.08,0.02,0.14,0.0025,0.005,0.005
23-3808,47 - 19-July-2022_westdry_3_rhizon_hcl,0.005,0.93,0.01,0.02,0.1,0.0025,0.005,0.005
23-3809,48 - 19-July-2022_westmesic_1_rhizon_hcl,0.005,1.43,0.01,0.01,0.17,0.0025,0.005,0.005
23-3810,49 - 19-July-2022_westmesic_2_rhizon_hcl,0.005,0.91,0.02,0.01,0.12,0.0025,0.005,0.005
23-3811,50 - 19-July-2022_westmesic_3_rhizon_hcl,0.005,0.82,0.16,0.02,0.12,0.0025,0.005,0.01
23-3812,51 - 19-July-2022_westhydric_1_rhizon_hcl,0.01,3.79,0.27,0.01,0.54,0.01,0.08,0.005
23-3813,52 - 19-July-2022_westhydric_2_rhizon_hcl,0.005,2.68,0.13,0.01,0.29,0.01,0.06,0.005
23-3814,53 - 19-July-2022_westhydric_3_rhizon_hcl,0.005,3.86,0.11,0.01,0.54,0.04,0.06,0.005
23-3815,54 - 19-July-2022_west_T1_rhizon_hcl,0.05,0.54,0.06,0.06,0.07,0.0025,0.07,0.005
23-3816,55 - 19-July-2022_west_T2_rhizon_hcl,0.05,0.52,0.1,0.02,0.07,0.0025,0.07,0.005
23-3817,56 - 19-July-2022_west_T3_rhizon_hcl,0.02,0.94,0.05,0.03,0.11,0.0025,0.05,0.005
23-3818,57 - 19-July-2022_west_T4_rhizon_hcl,0.01,3.09,0.04,0.02,0.32,0.0025,0.05,0.005
23-3819,58 - 19-July-2022_west_T5_rhizon_hcl,0.01,2.1,0.01,0.01,0.3,0.0025,0.06,0.005
23-3820,59 - 19-July-2022_west_T6_rhizon_hcl,0.005,1.82,0.04,0.01,0.25,0.0025,0.06,0.005
23-3821,60 - 19-July-2022_west_T7_rhizon_hcl,0.005,1.49,0.01,0.01,0.22,0.0025,0.06,0.005
23-3822,61 - 19-July-2022_west_T8_rhizon_hcl,0.005,1.29,0.11,0.04,0.2,0.0025,0.06,0.005
23-3823,62 - 19-July-2022_west_T9_rhizon_hcl,0.005,1.21,0.09,0.02,0.19,0.0025,0.07,0.005
23-3824,63 - 19-July-2022_west_T10_rhizon_hcl,0.01,1.11,0.01,0.01,0.17,0.0025,0.07,0.005
23-3825,64 - 19-July-2022_west_T11_rhizon_hcl,0.01,0.7,0.02,0.01,0.1,0.0025,0.05,0.005
23-3826,65 - 19-July-2022_west_T12_rhizon_hcl,0.005,4.22,0.17,0.01,0.58,0.02,0.05,0.005
23-3827,66 - 19-July-2022_west_T13_rhizon_hcl,0.005,3.71,0.1,0.005,0.54,0.0025,0.05,0.005
23-3828,67 - 7-August-2022_westdry_1_rhizon_hcl,0.005,1.9,0.0025,0.01,0.26,0.0025,0.05,0.005
23-3829,68 - 7-August-2022_westdry_2_rhizon_hcl,0.005,1.28,0.0025,0.01,0.15,0.0025,0.03,0.005
23-3830,69 - 7-August-2022_westdry_3_rhizon_hcl,0.005,1.23,0.0025,0.01,0.13,0.0025,0.04,0.005
23-3831,70 - 7-August-2022_westmesic_1_rhizon_hcl,0.005,1.37,0.0025,0.01,0.16,0.0025,0.03,0.005
23-3832,71 - 7-August-2022_westmesic_2_rhizon_hcl,0.005,0.93,0.0025,0.005,0.12,0.0025,0.02,0.005
23-3833,72 - 7-August-2022_westmesic_3_rhizon_hcl,0.005,0.98,0.0025,0.05,0.14,0.0025,0.02,0.005
23-3834,73 - 7-August-2022_westhydric_1_rhizon_hcl,0.005,4.78,0.13,0.01,0.66,0.01,0.07,0.005
23-3835,74 - 7-August-2022_westhydric_2_rhizon_hcl,0.005,3.18,0.01,0.01,0.36,0.01,0.06,0.005
23-3836,75 - 7-August-2022_westhydric_3_rhizon_hcl,0.005,5.03,0.0025,0.01,0.73,0.02,0.08,0.005
23-3837,76 - 7-August-2022_west_T1_rhizon_hcl,0.05,0.61,0.04,0.08,0.08,0.0025,0.08,0.005
23-3838,77 - 7-August-2022_west_T2_rhizon_hcl,0.05,0.55,0.19,0.01,0.06,0.0025,0.04,0.005
23-3839,78 - 7-August-2022_west_T3_rhizon_hcl,0.02,0.96,0.22,0.03,0.11,0.0025,0.04,0.005
23-3840,79 - 7-August-2022_west_T4_rhizon_hcl,0.005,3.18,0.25,0.02,0.33,0.0025,0.07,0.005
23-3841,80 - 7-August-2022_west_T5_rhizon_hcl,0.01,1.76,0.32,0.02,0.24,0.0025,0.08,0.005
23-3842,81 - 7-August-2022_west_T6_rhizon_hcl,0.005,2.16,0.28,0.02,0.31,0.0025,0.1,0.005
23-3843,82 - 7-August-2022_west_T7_rhizon_hcl,0.005,2.22,0.25,0.02,0.33,0.0025,0.07,0.005
23-3844,83 - 7-August-2022_west_T8_rhizon_hcl,0.005,1.62,0.34,0.03,0.25,0.01,0.09,0.005
23-3845,84 - 7-August-2022_west_T9_rhizon_hcl,0.005,1.4,0.29,0.03,0.21,0.0025,0.07,0.005
23-3846,85 - 7-August-2022_west_T10_rhizon_hcl,0.005,1.36,0.36,0.01,0.2,0.01,0.07,0.005
23-3847,86 - 7-August-2022_west_T11_rhizon_hcl,0.01,0.84,0.27,0.05,0.12,0.0025,0.07,0.005
23-3848,87 - 7-August-2022_west_T12_rhizon_hcl,0.005,4.44,0.27,0.03,0.61,0.02,0.08,0.005
23-3849,88 - 7-August-2022_west_T13_rhizon_hcl,0.005,5.04,0.25,0.02,0.75,0.0025,0.1,0.005
23-3850,89 - 8-August-2022_eastdry_1_rhizon_hcl,0.02,1.35,0.32,0.01,0.16,0.0025,0.09,0.005
23-3851,90 - 8-August-2022_eastdry_2_rhizon_hcl,0.05,0.55,0.28,0.02,0.07,0.01,0.05,0.005
23-3852,91 - 8-August-2022_eastdry_3_rhizon_hcl,0.06,0.56,0.33,0.05,0.11,0.03,0.1,0.005
23-3853,92 - 8-August-2022_eastmesic_1_rhizon_hcl,0.04,0.32,0.44,0.03,0.08,0.01,0.11,0.005
23-3854,93 - 8-August-2022_eastmesic_2_rhizon_hcl,0.04,0.36,0.28,0.06,0.09,0.01,0.08,0.005
23-3855,94 - 8-August-2022_eastmesic_3_rhizon_hcl,0.03,0.33,0.76,0.16,0.08,0.02,0.07,0.005
23-3856,95 - 8-August-2022_easthydric_1_rhizon_hcl,0.03,0.28,0.89,0.01,0.06,0.01,0.06,0.005
23-3857,96 - 8-August-2022_easthydric_2_rhizon_hcl,0.06,0.96,1.68,0.03,0.16,0.27,0.07,0.005
23-3858,97 - 8-August-2022_easthydric_3_rhizon_hcl,0.05,1.21,1.28,0.13,0.25,1.98,0.11,0.005
23-3859,98 - 8-August-2022_east_T1_rhizon_hcl,0.04,0.56,0.03,0.03,0.08,0.0025,0.1,0.005
23-3860,99 - 8-August-2022_east_T2_rhizon_hcl,0.04,0.78,0.05,0.03,0.13,0.01,0.07,0.005
23-3861,100 - 8-August-2022_east_T3_rhizon_hcl,0.04,0.86,0.12,0.11,0.12,0.0025,0.07,0.005
23-3862,101 - 8-August-2022_east_T4_rhizon_hcl,0.01,1.46,0.44,0.2,0.08,0.02,0.03,0.005
23-3863,102 - 8-August-2022_east_T5_rhizon_hcl,0.04,0.55,0.83,0.4,0.1,0.04,0.05,0.02
23-3864,103 - 8-August-2022_east_T6_rhizon_hcl,0.02,0.21,0.22,0.24,0.05,0.01,0.06,0.005
23-3865,104 - 8-August-2022_east_T7_rhizon_hcl,0.07,0.44,0.27,0.02,0.11,0.01,0.08,0.005
23-3866,105 - 8-August-2022_east_T8_rhizon_hcl,0.04,0.41,0.24,0.18,0.1,0.02,0.11,0.005
23-3867,106 - 8-August-2022_east_T9_rhizon_hcl,0.04,0.27,0.28,0.1,0.07,0.01,0.11,0.005
23-3868,107 - 8-August-2022_east_T10_rhizon_hcl,0.08,0.54,0.32,0.09,0.12,0.01,0.06,0.005
23-3869,108 - 8-August-2022_east_T11_rhizon_hcl,0.06,0.75,0.31,0.02,0.16,0.01,0.08,0.005
23-3870,109 - 8-August-2022_east_T12_rhizon_hcl,0.06,0.37,0.37,0.04,0.1,0.02,0.1,0.005
23-3871,110 - 8-August-2022_east_T13_rhizon_hcl,0.03,0.3,0.25,0.17,0.07,0.01,0.07,0.005
23-3872,111 - 6-July-2022_eastdry_1_rhizon_hcl,0.01,1.1,0.89,0.03,0.13,0.01,0.09,0.005
23-3873,112 - 6-July-2022_eastdry_2_rhizon_hcl,0.07,0.73,0.93,0.04,0.1,0.02,0.08,0.005
23-3874,113 - 6-July-2022_eastdry_3_rhizon_hcl,0.02,0.24,2.21,0.03,0.04,0.03,0.03,0.005
23-3875,114 - 6-July-2022_eastmesic_1_rhizon_hcl,0.04,0.36,1.13,0.04,0.09,0.02,0.08,0.005
23-3876,115 - 6-July-2022_eastmesic_2_rhizon_hcl,0.03,0.45,9.56,0.15,0.06,0.14,0.06,0.005
23-3877,116 - 6-July-2022_eastmesic_3_rhizon_hcl,0.02,0.29,6.62,0.1,0.05,0.1,0.06,0.005
23-3878,117 - 6-July-2022_easthydric_1_rhizon_hcl,0.04,0.29,1.47,0.02,0.08,0.03,0.08,0.005
23-3879,118 - 6-July-2022_easthydric_2_rhizon_hcl,0.04,0.36,1.28,0.02,0.07,0.03,0.05,0.005
23-3880,119 - 6-July-2022_easthydric_3_rhizon_hcl,0.04,0.46,1.44,0.02,0.1,0.13,0.04,0.005
23-3881,120 - 6-July-2022_east_T1_rhizon_hcl,0.03,2.34,0.12,0.02,0.11,0.0025,0.06,0.005
23-3882,121 - 6-July-2022_east_T2_rhizon_hcl,0.03,0.53,0.35,0.03,0.1,0.01,0.08,0.005
23-3883,122 - 6-July-2022_east_T3_rhizon_hcl,0.04,0.81,0.64,0.07,0.13,0.01,0.09,0.005
23-3884,124 - 6-July-2022_east_T5_rhizon_hcl,0.03,2.02,1.41,0.34,0.13,0.06,0.08,0.01
23-3885,125 - 6-July-2022_east_T6_rhizon_hcl,0.07,0.55,0.56,0.2,0.13,0.02,0.08,0.005
23-3886,126 - 6-July-2022_east_T7_rhizon_hcl,0.07,0.39,0.72,0.03,0.09,0.02,0.08,0.005
23-3887,127 - 6-July-2022_east_T8_rhizon_hcl,0.09,0.84,1.74,0.09,0.21,0.06,0.14,0.005
23-3888,128 - 6-July-2022_east_T9_rhizon_hcl,0.05,0.63,2.15,0.08,0.1,0.03,0.06,0.005
23-3889,129 - 6-July-2022_east_T10_rhizon_hcl,0.1,0.5,0.9,0.08,0.13,0.02,0.18,0.005
23-3890,130 - 6-July-2022_east_T11_rhizon_hcl,0.03,0.33,0.53,0.03,0.08,0.01,0.07,0.005
23-3891,131 - 6-July-2022_east_T12_rhizon_hcl,0.06,0.3,1.66,0.02,0.09,0.03,0.1,0.005
