Sensor,Area,Site,Plot,depth_cm
redox_3_3-2_fromtip_Avg,East,Dry,3,20
redox_3_3-3_fromtip_Avg,East,Dry,3,10
redox_3_3-4_fromtip_Avg,East,Dry,3,5
redox_1_1-1_fromtip_Avg,East,Mesic,1,30
redox_1_1-2_fromtip_Avg,East,Mesic,1,20
redox_1_1-3_fromtip_Avg,East,Mesic,1,10
redox_1_1-4_fromtip_Avg,East,Mesic,1,5
redox_1_2-1_fromtip_Avg,East,Mesic,2,26
redox_1_2-2_fromtip_Avg,East,Mesic,2,16
redox_1_2-3_fromtip_Avg,East,Mesic,2,6
redox_1_2-4_fromtip_Avg,East,Mesic,2,1
redox_1_3-1_fromtip_Avg,East,Mesic,3,26
redox_1_3-2_fromtip_Avg,East,Mesic,3,16
redox_1_3-3_fromtip_Avg,East,Mesic,3,6
redox_1_3-4_fromtip_Avg,East,Mesic,3,1
redox_5_1-1_fromtip_Avg,East,Hydric,1,49
redox_5_1-2_fromtip_Avg,East,Hydric,1,29
redox_5_1-3_fromtip_Avg,East,Hydric,1,19
redox_5_1-4_fromtip_Avg,East,Hydric,1,9
redox_5_1-5_fromtip_Avg,East,Hydric,1,7
redox_5_1-6_fromtip_Avg,East,Hydric,1,5
redox_5_1-7_fromtip_Avg,East,Hydric,1,3
redox_5_1-8_fromtip_Avg,East,Hydric,1,1
redox_5_2-1_fromtip_Avg,East,Hydric,2,43
redox_5_2-2_fromtip_Avg,East,Hydric,2,23
redox_5-2-3_fromtip_Avg,East,Hydric,2,13
redox_5_2-4_fromtip_Avg,East,Hydric,2,3
redox_5_2-5_fromtip_Avg,East,Hydric,2,1
redox_5_2-6_fromtip_Avg,East,Hydric,2,n.a.
redox_5_2-7_fromtip_Avg,East,Hydric,2,n.a.
redox_5_2-8_fromtip_Avg,East,Hydric,2,n.a.
redox_5_3-1_fromtip_Avg,East,Hydric,3,55
redox_5_3-2_fromtip_Avg,East,Hydric,3,35
redox_5_3-3_fromtip_Avg,East,Hydric,3,25
redox_5_3-4_fromtip_Avg,East,Hydric,3,15
redox_5_3-5_fromtip_Avg,East,Hydric,3,13
redox_5_3-6_fromtip_Avg,East,Hydric,3,11
redox_5_3-7_fromtip_Avg,East,Hydric,3,9
redox_5_3-8_fromtip_Avg,East,Hydric,3,7
