Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,SD Area,CV Area,Excluded,Inj. Vol.
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:28,1,4,NPOC,29.32,6.007,NPOC:6.061mg/L TN:1.118mg/L,0.4885,1.65,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:15,1,1,TN,3.782,1.131,NPOC:6.061mg/L TN:1.118mg/L,0.1172,3.21,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:19,1,2,TN,3.621,1.115,NPOC:6.061mg/L TN:1.118mg/L,0.1172,3.21,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:23,1,3,TN,3.554,1.109,NPOC:6.061mg/L TN:1.118mg/L,0.1172,3.21,0,50
Unknown,NPOC/TN,16,16,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:28,1,4,TN,3.275,1.082,NPOC:6.061mg/L TN:1.118mg/L,0.1172,3.21,1,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:37,1,1,NPOC,55.97,11.6,NPOC:11.69mg/L TN:1.496mg/L,0.7363,1.31,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:41,1,2,NPOC,55.94,11.6,NPOC:11.69mg/L TN:1.496mg/L,0.7363,1.31,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 12:45,1,3,NPOC,57.23,11.87,NPOC:11.69mg/L TN:1.496mg/L,0.7363,1.31,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:37,1,1,TN,7.518,1.489,NPOC:11.69mg/L TN:1.496mg/L,0.1729,2.28,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:41,1,2,TN,7.793,1.515,NPOC:11.69mg/L TN:1.496mg/L,0.1729,2.28,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:45,1,3,TN,7.474,1.485,NPOC:11.69mg/L TN:1.496mg/L,0.1729,2.28,0,50
Unknown,NPOC/TN,12,12,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 12:52,1,4,TN,0.0319,0.771,NPOC:11.69mg/L TN:1.496mg/L,0.1729,2.28,1,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:01,1,1,NPOC,124.2,25.93,NPOC:25.90mg/L TN:2.001mg/L,1.904,1.53,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:06,1,2,NPOC,125.9,26.28,NPOC:25.90mg/L TN:2.001mg/L,1.904,1.53,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:10,1,3,NPOC,122.1,25.49,NPOC:25.90mg/L TN:2.001mg/L,1.904,1.53,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:01,1,1,TN,12.58,1.974,NPOC:25.90mg/L TN:2.001mg/L,0.3356,2.61,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:06,1,2,TN,13.23,2.037,NPOC:25.90mg/L TN:2.001mg/L,0.3356,2.61,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:10,1,3,TN,12.76,1.992,NPOC:25.90mg/L TN:2.001mg/L,0.3356,2.61,0,50
Unknown,NPOC/TN,6,6,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:16,1,4,TN,0.2868,0.7954,NPOC:25.90mg/L TN:2.001mg/L,0.3356,2.61,1,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:25,1,1,NPOC,69.19,14.38,NPOC:14.45mg/L TN:1.188mg/L,0.4315,0.62,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:29,1,2,NPOC,70.02,14.55,NPOC:14.45mg/L TN:1.188mg/L,0.4315,0.62,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:34,1,3,NPOC,69.4,14.42,NPOC:14.45mg/L TN:1.188mg/L,0.4315,0.62,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:25,1,1,TN,4.518,1.201,NPOC:14.45mg/L TN:1.188mg/L,0.1693,3.87,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:29,1,2,TN,4.419,1.192,NPOC:14.45mg/L TN:1.188mg/L,0.1693,3.87,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:34,1,3,TN,4.188,1.17,NPOC:14.45mg/L TN:1.188mg/L,0.1693,3.87,0,50
Unknown,NPOC/TN,9,9,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:40,1,4,TN,0.0864,0.7762,NPOC:14.45mg/L TN:1.188mg/L,0.1693,3.87,1,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:49,1,1,NPOC,48.44,10.02,NPOC:10.12mg/L TN:1.190mg/L,0.6963,1.42,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:53,1,2,NPOC,48.58,10.05,NPOC:10.12mg/L TN:1.190mg/L,0.6963,1.42,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 13:58,1,3,NPOC,49.71,10.29,NPOC:10.12mg/L TN:1.190mg/L,0.6963,1.42,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:49,1,1,TN,4.142,1.165,NPOC:10.12mg/L TN:1.190mg/L,0.2715,6.16,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:53,1,2,TN,4.385,1.188,NPOC:10.12mg/L TN:1.190mg/L,0.2715,6.16,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 13:58,1,3,TN,4.684,1.217,NPOC:10.12mg/L TN:1.190mg/L,0.2715,6.16,0,50
Unknown,NPOC/TN,45,45,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:04,1,4,TN,0,0.7679,NPOC:10.12mg/L TN:1.190mg/L,0.2715,6.16,1,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:13,1,1,NPOC,65.83,13.67,NPOC:13.57mg/L TN:1.472mg/L,0.8429,1.29,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:17,1,2,NPOC,65.83,13.67,NPOC:13.57mg/L TN:1.472mg/L,0.8429,1.29,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:21,1,3,NPOC,64.37,13.37,NPOC:13.57mg/L TN:1.472mg/L,0.8429,1.29,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:13,1,1,TN,7.503,1.488,NPOC:13.57mg/L TN:1.472mg/L,0.204,2.78,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:17,1,2,TN,7.412,1.479,NPOC:13.57mg/L TN:1.472mg/L,0.204,2.78,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:21,1,3,TN,7.113,1.45,NPOC:13.57mg/L TN:1.472mg/L,0.204,2.78,0,50
Unknown,NPOC/TN,22,22,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:28,1,4,TN,0.0433,0.7721,NPOC:13.57mg/L TN:1.472mg/L,0.204,2.78,1,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:36,1,1,NPOC,46.98,9.714,NPOC:9.727mg/L TN:1.066mg/L,0.8316,1.77,0,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:41,1,2,NPOC,47.9,9.908,NPOC:9.727mg/L TN:1.066mg/L,0.8316,1.77,0,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:45,1,3,NPOC,48.95,10.13,NPOC:9.727mg/L TN:1.066mg/L,0.8316,1.77,1,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-NPOC_syringe-sparge-III.2022_11_16_14_07_52.cal,1,,12/1/2022 14:49,1,4,NPOC,46.24,9.559,NPOC:9.727mg/L TN:1.066mg/L,0.8316,1.77,0,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:36,1,1,TN,3.507,1.104,NPOC:9.727mg/L TN:1.066mg/L,0.1462,4.7,1,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:41,1,2,TN,3.205,1.075,NPOC:9.727mg/L TN:1.066mg/L,0.1462,4.7,0,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:45,1,3,TN,3.177,1.073,NPOC:9.727mg/L TN:1.066mg/L,0.1462,4.7,0,50
Unknown,NPOC/TN,27,27,C:\TOC-L\Methods\Paterson-Rooney_NPOC-TN_11-16-2022_III.met,C:\TOC-L\CalCurves\Rooney-PhIr-2022-TN_syringe-sparge-III.2022_11_29_14_40_42.cal,1,,12/1/2022 14:49,1,4,TN,2.939,1.05,NPOC:9.727mg/L TN:1.066mg/L,0.1462,4.7,0,50
