Sample_ID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_manualcalcs,real_depth_cm,Paper_bag_weights_g,bag_wetcoreweight_g,wet_core_weight,dry_weight_of_core_and_bag_g,dry_core_weight_g,soil_bulk_density_g_cm3,grav_moist_perc,grav_water_gh20_per_gdrysoil
20210707-W-M3_O2,20210707-W-M3,7-Jul-21,West,Mesic,3,W-M3,O2,9,9,10,8,9,15.4,15.4,6.8,139.3,132.5,34.39,27.59,0.16,79.2,3.8
20210707-W-H1_O1,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O1,8,8.5,9,9,8.6,8.6,8.6,7,149.7,142.7,29.96,22.96,0.14,83.9,5.22
20210707-W-H1_O2,20210707-W-H1,7-Jul-21,West,Hydric,1,W-H1,O2,9.5,7.5,9,9.5,8.9,17.5,17.5,7,141,134,27.46,20.46,0.12,84.7,5.55
20210707-W-H2_O1,20210707-W-H2,7-Jul-21,West,Hydric,2,W-H2,O1,9,9,9.5,8.5,9,9,9,6.9,122.9,116,27.16,20.26,0.11,82.5,4.73
20210707-W-H2_O2,20210707-W-H2,7-Jul-21,West,Hydric,2,W-H2,O2,5,4,5.5,6.5,5.3,14.3,14.3,7,91.5,84.5,21.75,14.75,0.14,82.5,4.73
20210707-W-H3_O1,20210707-W-H3,7-Jul-21,West,Hydric,3,W-H3,O1,8.5,7,7.5,8.5,7.9,7.9,7.9,6.9,90.9,84,23.11,16.21,0.1,80.7,4.18
20210707-W-H3_O2,20210707-W-H3,7-Jul-21,West,Hydric,3,W-H3,O2,16.5,15.5,12,12.5,14.1,22,22,6.9,171.3,164.4,37.1,30.2,0.11,81.6,4.44
20210713-W-D1_O1,20210713-W-D1,13-Jul-21,West,Dry,1,W-D1,O1,9,9,10.5,10.5,9.8,9.8,9.8,4.3,55.6,51.3,14.69,10.39,0.05,79.7,3.94
20210713-W-D1_O2,20210713-W-D1,13-Jul-21,West,Dry,1,W-D1,O2,10.5,11,10.5,11.5,10.9,20.7,20.7,4.3,160.4,156.1,40.42,36.12,0.17,76.9,3.32
20210713-W-D2_O1,20210713-W-D2,13-Jul-21,West,Dry,2,W-D2,O1,12.5,12.5,13,13,12.8,12.8,12.8,4.2,78.9,74.7,14.08,9.88,0.04,86.8,6.56
20210713-W-D2_O2,20210713-W-D2,13-Jul-21,West,Dry,2,W-D2,O2,5.5,6.5,8,7,6.8,19.6,19.6,4.1,96.4,92.3,23.04,18.94,0.14,79.5,3.87
20210713-W-D3_O1,20210713-W-D3,13-Jul-21,West,Dry,3,W-D3,O1,11,12,10,11,11,11,11,6.9,55.2,48.3,17.18,10.28,0.05,78.7,3.7
20210713-W-D3_O2,20210713-W-D3,13-Jul-21,West,Dry,3,W-D3,O2,11,10.5,9.5,9,10,21,21,7,112.8,105.8,31.65,24.65,0.13,76.7,3.29
20210713-W-M1_O1,20210713-W-M1,13-Jul-21,West,Mesic,1,W-M1,O1,12,13,12.5,11.5,12.3,12.3,12.3,4.3,75.1,70.8,17.01,12.71,0.05,82,4.57
20210713-W-M1_O2,20210713-W-M1,13-Jul-21,West,Mesic,1,W-M1,O2,8.5,8,8.5,8.5,8.4,20.7,20.7,4.3,115.8,111.5,24.34,20.04,0.12,82,4.56
20210713-W-M2_O1,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,O1,5.5,6.5,6.5,6.5,6.3,6.3,6.3,4.3,33.7,29.4,12.04,7.74,0.06,73.7,2.8
20210713-W-M2_O2,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,O2,5.5,5,5.5,4,5,11.3,11.3,4.4,75.4,71,19.94,15.54,0.16,78.1,3.57
20210713-W-M2_M,20210713-W-M2,13-Jul-21,West,Mesic,2,W-M2,M,6.5,3.5,6.5,5.5,5.5,16.8,16.8,4.4,143.4,139,110.09,105.69,0.98,24,0.32
20210713-W-M3_O,20210713-W-M3,13-Jul-21,West,Mesic,3,W-M3,O,18.5,18.5,19,18.5,18.6,18.6,18.6,4.1,,-4.1,20.79,16.69,0.05,,
20210713-W-H1_O1,20210713-W-H1,13-Jul-21,West,Hydric,1,W-H1,O1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,4.1,75.9,71.8,9.14,5.04,0.03,93,13.25
20210713-W-H1_O2,20210713-W-H1,13-Jul-21,West,Hydric,1,W-H1,O2,10,9,7,10,9,17.5,17.5,4.1,113,108.9,19.43,15.33,0.09,85.9,6.1
20210713-W-H2_O1,20210713-W-H2,13-Jul-21,West,Hydric,2,W-H2,O1,10,9.5,8.5,9.5,9.4,9.4,9.4,4.4,152.5,148.1,32.34,27.94,0.15,81.1,4.3
20210713-W-H2_O2,20210713-W-H2,13-Jul-21,West,Hydric,2,W-H2,O2,12,11,11.5,11.5,11.5,20.9,20.9,4.3,,-4.3,34.62,30.32,0.13,,
20210713-W-H3_O1,20210713-W-H3,13-Jul-21,West,Hydric,3,W-H3,O1,10.5,10,10,10,10.1,10.1,10.1,4.1,98.2,94.1,22,17.9,0.09,81,4.26
20210713-W-H3_O2,20210713-W-H3,13-Jul-21,West,Hydric,3,W-H3,O2,8.5,8.5,9.5,9.5,9,19.1,19.1,4.1,108.2,104.1,22.99,18.89,0.11,81.9,4.51
20210714-E-D1_O1,20210714-E-D1,14-Jul-21,East,Dry,1,E-D1,O1,6,4.5,7.5,7,6.3,6.3,6.3,4.2,27.9,23.7,8.93,4.73,0.04,80,4.01
20210714-E-D1_O2,20210714-E-D1,14-Jul-21,East,Dry,1,E-D1,O2,7.5,7,6.5,6,6.8,13.1,13.1,4.3,100.7,96.4,40.18,35.88,0.27,62.8,1.69
20210714-E-D2_O1,20210714-E-D2,14-Jul-21,East,Dry,2,E-D2,O1,10,9.5,9,9,9.4,9.4,9.4,4.4,59.9,55.5,21,16.6,0.09,70.1,2.34
20210714-E-D2_O2,20210714-E-D2,14-Jul-21,East,Dry,2,E-D2,O2,4.5,4.5,4.5,5,4.6,14,14,4.4,91.2,86.8,40.83,36.43,0.4,58,1.38
20210714-E-D3_O1,20210714-E-D3,14-Jul-21,East,Dry,3,E-D3,O1,5.5,7,7.5,6.5,6.6,6.6,6.6,4.4,52.4,48,15.29,10.89,0.08,77.3,3.41
20210714-E-D3_O2,20210714-E-D3,14-Jul-21,East,Dry,3,E-D3,O2,7,7.5,7.5,6,7,13.6,13.6,4.3,120.8,116.5,41.55,37.25,0.27,68,2.13
20210714-E-M1_O1,20210714-E-M1,14-Jul-21,East,Mesic,1,E-M1,O1,9.5,10,9.5,9.5,9.6,9.6,9.6,4.4,60.5,56.1,17.58,13.18,0.07,76.5,3.26
20210714-E-M1_O2,20210714-E-M1,14-Jul-21,East,Mesic,1,E-M1,O2,1.5,2.5,2,2,2,11.6,11.6,4.4,22.1,17.7,8.87,4.47,0.11,74.7,2.96
20210714-E-M1_M,20210714-E-M1,14-Jul-21,East,Mesic,1,E-M1,M,5.5,5.5,5,5,5.3,16.9,16.9,4.4,149.2,144.8,95.64,91.24,0.89,37,0.59
20210714-E-M2_O,20210714-E-M2,14-Jul-21,East,Mesic,2,E-M2,O,8,7.5,7,7,7.4,7.4,7.4,4.2,65.5,61.3,31.62,27.42,0.19,55.3,1.24
20210714-E-M2_M,20210714-E-M2,14-Jul-21,East,Mesic,2,E-M2,M,9,9,9,8.9,9,16.4,16.4,4.4,275.4,271,207.39,202.99,1.15,25.1,0.34
20210714-E-M3_O1,20210714-E-M3,14-Jul-21,East,Mesic,3,E-M3,O1,5.5,6.5,5.5,8,6.4,6.4,6.4,,25.3,25.3,,0,,,
20210714-E-M3_O2,20210714-E-M3,14-Jul-21,East,Mesic,3,E-M3,O2,9.5,8.5,7.5,8,8.4,14.8,14.8,,154,154,,0,,,
20210714-E-H1_O1,20210714-E-H1,14-Jul-21,East,Hydric,1,E-H1,O1,10.5,10.5,8.5,7.5,9.3,9.3,9.3,4.3,50.3,46,10.4,6.1,0.03,86.7,6.54
20210714-E-H1_O2,20210714-E-H1,14-Jul-21,East,Hydric,1,E-H1,O2,6,6,5,5.5,5.6,14.9,14.9,4.4,74.2,69.8,17.73,13.33,0.12,80.9,4.24
20210714-E-H2_O1,20210714-E-H2,14-Jul-21,East,Hydric,2,E-H2,O1,6.5,5.5,4,5,5.3,5.3,5.3,4.3,34.2,29.9,9.2,4.9,0.05,83.6,5.1
20210714-E-H2_O2,20210714-E-H2,14-Jul-21,East,Hydric,2,E-H2,O2,10,9.5,9,9,9.4,14.7,14.7,4.4,149.6,145.2,42.6,38.2,0.21,73.7,2.8
20210714-E-H3_O1,20210714-E-H3,14-Jul-21,East,Hydric,3,E-H3,O1,9,8.5,11,11,9.9,9.9,9.9,4.3,56.2,51.9,,,,,
20210714-E-H3_O2,20210714-E-H3,14-Jul-21,East,Hydric,3,E-H3,O2,8,7,8,9,8,17.9,17.9,4.3,137.6,133.3,,,,,
20210724-W-T1_O,20210724-W-T1,24-Jul-21,West,Transect,T1,W-T1,O,5.5,7,7.5,7.5,6.9,6.9,6.9,1.4,89.7,88.3,,,,,
20210724-W-T1_M,20210724-W-T1,24-Jul-21,West,Transect,T1,W-T1,M,13,12.5,11.5,12.5,12.4,19.3,19.3,1.4,284.6,283.2,,,,,
20210724-W-T2_O1,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,O1,3.5,4.5,4.5,3,3.9,3.9,3.9,4.3,23.4,19.1,,,,,
20210724-W-T2_O2,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,O2,6,7.5,7,7,6.9,10.8,10.8,4.2,137.6,133.4,,,,,
20210724-W-T2_M,20210724-W-T2,24-Jul-21,West,Transect,T2,W-T2,M,,,,,,,,4.4,180.8,176.4,,,,,
20210724-W-T3_O,20210724-W-T3,24-Jul-21,West,Transect,T3,W-T3,O,11,12,10.5,12,11.4,11.4,11.4,4.4,152.5,148.1,,,,,
20210724-W-T3_M,20210724-W-T3,24-Jul-21,West,Transect,T3,W-T3,M,12.5,,,,12.5,23.9,23.9,4.3,179.5,175.2,,,,,
20210724-W-T4_O1,20210724-W-T4,24-Jul-21,West,Transect,T4,W-T4,O1,12.5,12.5,11,11.5,11.9,11.9,11.9,4.3,176.3,172,,,,,
20210724-W-T4_O2,20210724-W-T4,24-Jul-21,West,Transect,T4,W-T4,O2,7.5,7.5,8,8.5,7.9,19.8,19.8,4.4,245.6,241.2,,,,,
20210724-W-T5_O1,20210724-W-T5,24-Jul-21,West,Transect,T5,W-T5,O1,7.5,6,5,7,6.4,6.4,6.4,4.4,50.6,46.2,,,,,
20210724-W-T5_O2,20210724-W-T5,24-Jul-21,West,Transect,T5,W-T5,O2,9,8.5,8.5,8,8.5,14.9,14.9,4.4,180,175.6,,,,,
20210724-W-T6_O1,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,O1,6.5,7.5,7.5,7,7.1,7.1,7.1,4.4,50.1,45.7,,,,,
20210724-W-T6_O2,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,O2,10,10.5,9.5,9,9.8,16.9,16.9,4.4,160.8,156.4,,,,,
20210724-W-T6_M,20210724-W-T6,24-Jul-21,West,Transect,T6,W-T6,M,5,4.5,5.5,5.5,5.1,22,22,4.4,156.2,151.8,,,,,
20210724-W-T7_O1,20210724-W-T7,24-Jul-21,West,Transect,T7,W-T7,O1,8,8,8,9.6,8.4,8.4,8.4,4.4,61.2,56.8,,,,,
20210724-W-T7_O2,20210724-W-T7,24-Jul-21,West,Transect,T7,W-T7,O2,12.5,13,12.5,14,13,21.4,21.4,4.4,195.2,190.8,,,,,
20210724-W-T8_O1,20210724-W-T8,24-Jul-21,West,Transect,T8,W-T8,O1,11.5,10.5,11,11,11,11,11,1.4,49.2,47.8,,,,,
20210724-W-T8_O2,20210724-W-T8,24-Jul-21,West,Transect,T8,W-T8,O2,12,11,12,11.5,11.6,22.6,22.6,1.4,163.3,161.9,,,,,
20210724-W-T9_O1,20210724-W-T9,24-Jul-21,West,Transect,T9,W-T9,O1,9.5,9,9,7.5,8.8,8.8,8.8,4.4,38.5,34.1,,,,,
20210724-W-T9_O2,20210724-W-T9,24-Jul-21,West,Transect,T9,W-T9,O2,11,12.5,12.5,12.5,12.1,20.9,20.9,4.3,179,174.7,,,,,
20210724-W-T10_O1,20210724-W-T10,24-Jul-21,West,Transect,T10,W-T10,O1,15,14,14,15.5,14.6,14.6,14.6,1.4,60.8,59.4,,,,,
20210724-W-T10_O2,20210724-W-T10,24-Jul-21,West,Transect,T10,W-T10,O2,7,6.5,7,5.5,6.5,21.1,21.1,1.4,94.2,92.8,,,,,
20210724-W-T11_O1,20210724-W-T11,24-Jul-21,West,Transect,T11,W-T11,O1,8.5,9.5,9.5,8.5,9,9,9,1.4,43.9,42.5,,,,,
20210724-W-T11_O2,20210724-W-T11,24-Jul-21,West,Transect,T11,W-T11,O2,10,10,9.5,9,9.6,18.6,18.6,1.4,124.5,123.1,,,,,
20210724-W-T12_O1,20210724-W-T12,24-Jul-21,West,Transect,T12,W-T12,O1,10.5,10,9.5,10.5,10.1,10.1,10.1,4.3,143.1,138.8,,,,,
20210724-W-T12_O2,20210724-W-T12,24-Jul-21,West,Transect,T12,W-T12,O2,10,10,9.5,11,10.1,20.2,20.2,4.3,156,151.7,,,,,
20210724-W-T13_O,20210724-W-T13,24-Jul-21,West,Transect,T13,W-T13,O,15,12.5,13,14,13.6,13.6,13.6,1.4,,-1.4,,,,,
20210724-E-T1_O1,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O1,8.5,9,9.5,11,9.5,9.5,9.5,4.5,48.6,44.1,,,,,
20210724-E-T1_O2,20210724-E-T1,24-Jul-21,East,Transect,T1,E-T1,O2,12,13,12,14.5,12.9,22.4,22.4,4.4,240.2,235.8,,,,,
20210724-E-T2_O1,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O1,8,7.5,10,8,8.4,8.4,8.4,4.4,36.5,32.1,,,,,
20210724-E-T2_O2,20210724-E-T2,24-Jul-21,East,Transect,T2,E-T2,O2,13,13.5,13,13,13.1,21.5,21.5,4.3,143.3,139,,,,,
20210724-E-T3_O1,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O1,7.5,6.5,8.5,5.5,7,7,7,4.3,36.4,32.1,,,,,
20210724-E-T3_O2,20210724-E-T3,24-Jul-21,East,Transect,T3,E-T3,O2,12,9,9,9.5,9.9,16.9,16.9,4.4,173.1,168.7,,,,,
20210724-E-T4_O1,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O1,10,9,9,9,9.3,9.3,9.3,4.4,66.5,62.1,,,,,
20210724-E-T4_O2,20210724-E-T4,24-Jul-21,East,Transect,T4,E-T4,O2,2.5,4.5,4.5,3.5,3.8,13.1,13.1,4.4,33.8,29.4,,,,,
20210724-E-T5_O1,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O1,7.5,10,9.5,9.5,9.1,9.1,9.1,4.3,23.7,19.4,,,,,
20210724-E-T5_O2,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,O2,6,7,7.5,7.5,7,16.1,16.1,4.3,44.7,40.4,,,,,
20210724-E-T5_M,20210724-E-T5,24-Jul-21,East,Transect,T5,E-T5,M,5,4.5,6,7,5.6,21.7,21.7,4.4,120.8,116.4,,,,,
20210724-E-T6_O,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,O,8.5,8.5,8.5,8,8.4,8.4,8.4,4.3,23.6,19.3,,,,,
20210724-E-T6_M,20210724-E-T6,24-Jul-21,East,Transect,T6,E-T6,M,9.5,10,9.5,8,9.3,17.7,17.7,4.3,261.1,256.8,,,,,
20210724-E-T7_O,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,O,2.5,2.5,2,2,2.3,2.3,2.3,4.4,14.1,9.7,,,,,
20210724-E-T7_M,20210724-E-T7,24-Jul-21,East,Transect,T7,E-T7,M,12.5,11,11,9.5,11,13.3,13.3,4.4,350.2,345.8,,,,,
20210724-E-T8_O1,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O1,11.5,10,11,10,10.6,10.6,10.6,4.3,52.7,48.4,,,,,
20210724-E-T8_O2,20210724-E-T8,24-Jul-21,East,Transect,T8,E-T8,O2,5.5,5.5,5,5,5.3,15.9,15.9,4.3,65.3,61,,,,,
20210724-E-T9_O,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,O,8,7.5,8.5,8.5,8.1,8.1,8.1,4.3,51.4,47.1,,,,,
20210724-E-T9_M,20210724-E-T9,24-Jul-21,East,Transect,T9,E-T9,M,11,11,11,12,11.3,19.4,19.4,4.3,366.7,362.4,,,,,
20210724-E-T10_O1,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O1,6.5,8,8,6.5,7.3,7.3,7.3,4.3,34.4,30.1,,,,,
20210724-E-T10_O2,20210724-E-T10,24-Jul-21,East,Transect,T10,E-T10,O2,10.5,9.5,9,8.5,9.4,16.7,16.7,4.3,275.5,271.2,,,,,
20210724-E-T11_O1,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O1,7,8.5,6,6,6.9,6.9,6.9,4.3,40.1,35.8,,,,,
20210724-E-T11_O2,20210724-E-T11,24-Jul-21,East,Transect,T11,E-T11,O2,6,5.5,6.5,7.5,6.4,13.3,13.3,4.3,86.5,82.2,,,,,
20210724-E-T12_O1,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O1,13,13,14,13.5,13.4,13.4,13.4,4.3,36.7,32.4,,,,,
20210724-E-T12_O2,20210724-E-T12,24-Jul-21,East,Transect,T12,E-T12,O2,6,5,5,4.5,5.1,18.5,18.5,4.4,69.5,65.1,,,,,
20210724-E-T13_O1,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O1,7.5,8.5,8,8,8,8,8,4.3,67.3,63,,,,,
20210724-E-T13_O2,20210724-E-T13,24-Jul-21,East,Transect,T13,E-T13,O2,9,10,9,8,9,17,17,4.3,133.3,129,,,,,
20210730-E-D1_O1,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O1,9.5,8.5,8.5,11,9.4,9.4,9.4,1.4,43.9,42.5,,,,,
20210730-E-D1_O2,20210730-E-D1,30-Jul-21,East,Dry,1,E-D1,O2,13,12.5,11.5,11,12,21.4,21.4,1.4,165.9,164.5,,,,,
20210730-E-D2_O1,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O1,12.5,9.5,7.5,10.5,10,10,10,1.4,85.2,83.8,,,,,
20210730-E-D2_O2,20210730-E-D2,30-Jul-21,East,Dry,2,E-D2,O2,8,6.5,6.5,7.5,7.1,17.1,17.1,1.4,156.8,155.4,,,,,
20210730-E-D3_O,20210730-E-D3,30-Jul-21,East,Dry,3,E-D3,O,7.5,7.5,8,8.5,7.9,7.9,7.9,1.4,96.2,94.8,46.37,44.97,0.29,52.6,1.11
20210730-E-D3_M,20210730-E-D3,30-Jul-21,East,Dry,3,E-D3,M,14,13.5,13.5,12,13.3,21.2,21.2,1.4,450.2,448.8,364.77,363.37,1.4,19,0.24
20210730-E-M1_O,20210730-E-M1,30-Jul-21,East,Mesic,1,E-M1,O,9,8,7,9.5,8.4,8.4,8.4,1.4,66.2,64.8,12.98,,,,
20210730-E-M1_M,20210730-E-M1,30-Jul-21,East,Mesic,1,E-M1,M,11.5,12.5,12,10.5,11.6,20,20,1.4,354.8,353.4,281.9,,,,
20210730-E-M2_O1,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,O1,12,12,11.5,12,11.9,11.9,11.9,1.4,93.9,92.5,,,,,
20210730-E-M2_O2,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,O2,4.5,4,4,2.5,3.8,15.7,15.7,1.4,43.2,41.8,,,,,
20210730-E-M2_M,20210730-E-M2,30-Jul-21,East,Mesic,2,E-M2,M,8.5,7,7.5,8.5,7.9,23.6,23.6,1.4,219.4,218,,,,,
20210730-E-M3_O1,20210730-E-M3,30-Jul-21,East,Mesic,3,E-M3,O1,11.5,13.5,12,11,12,12,12,1.4,65.5,64.1,,,,,
20210730-E-M3_O2,20210730-E-M3,30-Jul-21,East,Mesic,3,E-M3,O2,7,5.5,6,7.5,6.5,18.5,18.5,1.4,69.4,68,,,,,
20210730-E-H1_O1,20210730-E-H1,30-Jul-21,East,Hydric,1,E-H1,O1,14.5,15,14,13.5,14.3,14.3,14.3,1.4,62.4,61,,,,,
20210730-E-H1_O2,20210730-E-H1,30-Jul-21,East,Hydric,1,E-H1,O2,3.5,4,4.5,4.5,4.1,18.4,18.4,1.4,63.5,62.1,,,,,
20210730-E-H2_O1,20210730-E-H2,30-Jul-21,East,Hydric,2,E-H2,O1,11,11.5,11.5,10,11,11,11,1.4,165,163.6,,,,,
20210730-E-H2_O2,20210730-E-H2,30-Jul-21,East,Hydric,2,E-H2,O2,9,11.5,12,11,10.9,21.9,21.9,1.4,129.3,127.9,,,,,
20210730-E-H3_O1,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,O1,5,6.5,6,6.5,6,6,6,1.4,27.6,26.2,,,,,
20210730-E-H3_O2,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,O2,5,5,5.5,4.5,5,11,11,1.4,47.3,45.9,,,,,
20210730-E-H3_M,20210730-E-H3,30-Jul-21,East,Hydric,3,E-H3,M,4.5,5.5,6,6,5.5,16.5,16.5,1.4,114.1,112.7,,,,,
20210731-W-D1_O1,20210731-W-D1,31-Jul-21,West,Dry,1,W-D1,O1,8,9,8,7.5,8.1,8.1,8.1,1.4,46.1,44.7,,,,,
20210731-W-D1_O2,20210731-W-D1,31-Jul-21,West,Dry,1,W-D1,O2,14,13,14.5,13.5,13.8,21.9,21.9,1.4,209.5,208.1,,,,,
20210731-W-D2_O1,20210731-W-D2,31-Jul-21,West,Dry,2,W-D2,O1,8.5,8.5,9,9,8.8,8.8,8.8,1.4,71.7,70.3,,,,,
20210731-W-D2_O2,20210731-W-D2,31-Jul-21,West,Dry,2,W-D2,O2,12,12,12.5,12.5,12.3,21.1,21.1,1.4,209.3,207.9,,,,,
20210731-W-D3_O1,20210731-W-D3,31-Jul-21,West,Dry,3,W-D3,O1,8.5,8.5,9,7.5,8.4,8.4,8.4,1.4,64.5,63.1,13.18,11.78,0.07,81.3,4.36
