"","Date_collected","Core_ID","Area","Site","Horizon","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","real_depth_cm"
"50","13-Jul-21","20210713-W-H3","non-acidic tundra","Hydric","O2",0.11,0.4961,19.1
"51","14-Jul-21","20210714-E-D1","acidic tundra","Dry","O1",0.04,0.1604,6.3
"52","14-Jul-21","20210714-E-D1","acidic tundra","Dry","O2",0.27,0.4563,13.1
"53","14-Jul-21","20210714-E-D2","acidic tundra","Dry","O1",0.09,0.2106,9.4
"54","14-Jul-21","20210714-E-D2","acidic tundra","Dry","O2",0.4,0.552,14
"55","14-Jul-21","20210714-E-D3","acidic tundra","Dry","O1",0.08,0.2728,6.6
"56","14-Jul-21","20210714-E-D3","acidic tundra","Dry","O2",0.27,0.5751,13.6
"57","14-Jul-21","20210714-E-M1","acidic tundra","Mesic","O1",0.07,0.2282,9.6
"58","14-Jul-21","20210714-E-M1","acidic tundra","Mesic","O2",0.11,0.3256,11.6
"59","14-Jul-21","20210714-E-M1","acidic tundra","Mesic","M",0.89,0.5251,16.9
"60","14-Jul-21","20210714-E-M2","acidic tundra","Mesic","O",0.19,0.2356,7.4
"61","14-Jul-21","20210714-E-M2","acidic tundra","Mesic","M",1.15,0.391,16.4
"64","14-Jul-21","20210714-E-H1","acidic tundra","Hydric","O1",0.03,0.1962,9.3
"65","14-Jul-21","20210714-E-H1","acidic tundra","Hydric","O2",0.12,0.5088,14.9
"66","14-Jul-21","20210714-E-H2","acidic tundra","Hydric","O1",0.05,0.255,5.3
"67","14-Jul-21","20210714-E-H2","acidic tundra","Hydric","O2",0.21,0.588,14.7
"74","30-Jul-21","20210730-E-D3","acidic tundra","Dry","O",0.29,0.3219,7.9
"75","30-Jul-21","20210730-E-D3","acidic tundra","Dry","M",1.4,0.336,21.2
"94","31-Jul-21","20210731-W-D3","non-acidic tundra","Dry","O1",0.07,0.3052,8.4
"95","31-Jul-21","20210731-W-D3","non-acidic tundra","Dry","O2",0.38,0.6346,22.2
"110","7-Aug-21","20210807-E-D2","acidic tundra","Dry","O",0.03,0.0843,7.5
"111","7-Aug-21","20210807-E-D2","acidic tundra","Dry","M",0.43,0.4257,19.9
"112","7-Aug-21","20210807-E-D3","acidic tundra","Dry","O1",0.03,0.1545,11.8
"113","7-Aug-21","20210807-E-D3","acidic tundra","Dry","O2",0.33,0.5544,19.9
"114","7-Aug-21","20210807-E-M1","acidic tundra","Mesic","O",0.07,0.1659,3.6
"115","7-Aug-21","20210807-E-M1","acidic tundra","Mesic","M1",0.99,0.2871,7.2
"116","7-Aug-21","20210807-E-M1","acidic tundra","Mesic","M2",1.28,0.32,15.8
"119","7-Aug-21","20210807-E-M3","acidic tundra","Mesic","O",0.06,0.1962,5.4
"120","7-Aug-21","20210807-E-M3","acidic tundra","Mesic","M",0.9,0.423,16.5
"121","7-Aug-21","20210807-E-H1","acidic tundra","Hydric","O1",0.07,0.3416,5.4
"122","7-Aug-21","20210807-E-H1","acidic tundra","Hydric","O2",0.23,0.6279,13.2
"123","7-Aug-21","20210807-E-H1","acidic tundra","Hydric","M",0.8,0.488,20.5
"138","7-Aug-21","20210807-W-M2","non-acidic tundra","Mesic","O2",0.18,0.5058,18.8
"139","7-Aug-21","20210807-W-M2","non-acidic tundra","Mesic","M",0.84,0.5124,22.1
"142","7-Aug-21","20210807-W-H1","non-acidic tundra","Hydric","O1",0.15,0.4905,8.6
"144","7-Aug-21","20210807-W-H2","non-acidic tundra","Hydric","O1",0.18,0.4428,11.1
"145","7-Aug-21","20210807-W-H2","non-acidic tundra","Hydric","O2",0.15,0.5565,20
