"","site","position","depth_cm","month","redox_avg_mV","redox_sd","year"
"99","acidic tundra","mesic",26,"early summer",-231.78,10.71,2021
"100","acidic tundra","mesic",26,"late summer",-12.59,118.34,2021
"101","acidic tundra","mesic",26,"mid summer",-143.43,87.64,2021
"102","acidic tundra","mesic",30,"early summer",49.14,100.54,2021
"103","acidic tundra","mesic",30,"late summer",181.93,34.17,2021
"104","acidic tundra","mesic",30,"mid summer",249.34,75.64,2021
"105","acidic tundra","hydric",1,"early summer",678.68,8.01,2021
"106","acidic tundra","hydric",1,"late summer",519.03,93.79,2021
"107","acidic tundra","hydric",1,"mid summer",699.26,84.42,2021
"108","acidic tundra","hydric",3,"early summer",196.53,37.05,2021
"109","acidic tundra","hydric",3,"late summer",502.57,168.68,2021
"110","acidic tundra","hydric",3,"mid summer",530.85,276.21,2021
"111","acidic tundra","hydric",5,"early summer",-38.2,4.1,2021
"112","acidic tundra","hydric",5,"late summer",344.25,78.53,2021
"113","acidic tundra","hydric",5,"mid summer",314.65,276.74,2021
"114","acidic tundra","hydric",7,"early summer",325.79,321.48,2021
"115","acidic tundra","hydric",7,"late summer",529.53,82.72,2021
"116","acidic tundra","hydric",7,"mid summer",586.79,242.62,2021
"117","acidic tundra","hydric",9,"early summer",195.61,206.78,2021
"118","acidic tundra","hydric",9,"late summer",464.8,252.32,2021
"119","acidic tundra","hydric",9,"mid summer",437.05,259.53,2021
"120","acidic tundra","hydric",11,"early summer",407.39,7.48,2021
"121","acidic tundra","hydric",11,"late summer",631.2,22.74,2021
"122","acidic tundra","hydric",11,"mid summer",621.13,90.29,2021
"123","acidic tundra","hydric",13,"early summer",-95.03,10.13,2021
"124","acidic tundra","hydric",13,"late summer",604.29,45.37,2021
"125","acidic tundra","hydric",13,"mid summer",429.57,209.66,2021
"126","acidic tundra","hydric",15,"early summer",-126.07,7.77,2021
"127","acidic tundra","hydric",15,"late summer",596.54,86.24,2021
"128","acidic tundra","hydric",15,"mid summer",453.46,313.95,2021
"129","acidic tundra","hydric",19,"early summer",-20.47,22.84,2021
"130","acidic tundra","hydric",19,"late summer",51.37,91.99,2021
"131","acidic tundra","hydric",19,"mid summer",310.73,213.94,2021
"132","acidic tundra","hydric",23,"early summer",445.58,3.24,2021
"133","acidic tundra","hydric",23,"late summer",271.54,12.34,2021
"134","acidic tundra","hydric",23,"mid summer",395.35,74.72,2021
"135","acidic tundra","hydric",25,"late summer",-143.38,20.26,2021
"136","acidic tundra","hydric",25,"mid summer",68.97,241.84,2021
"137","acidic tundra","hydric",29,"early summer",-232.11,10.37,2021
"138","acidic tundra","hydric",29,"late summer",55.18,46.5,2021
"139","acidic tundra","hydric",29,"mid summer",188.77,91.61,2021
"140","acidic tundra","hydric",35,"late summer",-123.48,11,2021
"141","acidic tundra","hydric",35,"mid summer",-220.14,36.89,2021
"142","acidic tundra","hydric",43,"early summer",170.64,8.2,2021
"143","acidic tundra","hydric",43,"late summer",371.97,11.61,2021
"144","acidic tundra","hydric",43,"mid summer",362.77,39.93,2021
"145","acidic tundra","hydric",49,"late summer",216.4,8.76,2021
"146","acidic tundra","hydric",49,"mid summer",213.1,103.2,2021
"147","acidic tundra","hydric",55,"late summer",-210.75,32.16,2021
"148","acidic tundra","hydric",55,"mid summer",-201.86,34.17,2021
