"","X","ID","Area","Site","Plot","Sample","date","Betterdate","ICP","concentration","month"
"28",28,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.451","june"
"29",29,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","1.77","june"
"30",30,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","<0.05","june"
"31",31,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.868","june"
"32",32,4,"East","Dry","1","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"33",33,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.291","june"
"34",34,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","3.852","june"
"35",35,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","41.76673085","june"
"36",36,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.345","june"
"37",37,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.702","june"
"38",38,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.758","june"
"39",39,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.721","june"
"40",40,5,"East","Transect","T2","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"41",41,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.266","june"
"42",42,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","3.69","june"
"43",43,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","31.02039057","june"
"44",44,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.891","june"
"45",45,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.725","june"
"46",46,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.63","june"
"47",47,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.799","june"
"48",48,6,"East","Transect","T3","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"49",49,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.324","june"
"50",50,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","2.408","june"
"51",51,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","13.8521567","june"
"52",52,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","K _ug/mL","3.273","june"
"53",53,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.593","june"
"54",54,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.451","june"
"55",55,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.602","june"
"56",56,7,"East","Transect","T4","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"57",57,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.358","june"
"58",58,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","2.554","june"
"59",59,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","35.50757822","june"
"60",60,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","K _ug/mL","3.452","june"
"61",61,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.619","june"
"62",62,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.728","june"
"63",63,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.641","june"
"64",64,8,"East","Transect","T9","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"65",65,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.44","june"
"66",66,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","3.375","june"
"67",67,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","21.41312694","june"
"68",68,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","K _ug/mL","1.53","june"
"69",69,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.786","june"
"70",70,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.474","june"
"71",71,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.788","june"
"72",72,9,"East","Transect","T10","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"73",73,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.279","june"
"74",74,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","3.458","june"
"75",75,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","22.92300313","june"
"76",76,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.189","june"
"77",77,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.739","june"
"78",78,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.439","june"
"79",79,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.566","june"
"80",80,10,"East","Transect","T13","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"81",81,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.291","june"
"82",82,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","4.305","june"
"83",83,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","15.19328368","june"
"84",84,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","K _ug/mL","1.677","june"
"85",85,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","1.038","june"
"86",86,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.665","june"
"87",87,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","1.118","june"
"88",88,11,"East","Mesic","2","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"89",89,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.434","june"
"90",90,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","4.927","june"
"91",91,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","35.42596271","june"
"92",92,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","K _ug/mL","1.436","june"
"93",93,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","1.074","june"
"94",94,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.869","june"
"95",95,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","1.274","june"
"96",96,12,"East","Mesic","3","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"97",97,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.412","june"
"98",98,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","2.373","june"
"99",99,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","13.68597679","june"
"100",100,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.697","june"
"101",101,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.635","june"
"102",102,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.684","june"
"103",103,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.715","june"
"104",104,13,"East","Hydric","1","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"105",105,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Al_ug/mL","0.388","june"
"106",106,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Ca_ug/mL","2.592","june"
"107",107,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Fe _ug/mL","21.31207136","june"
"108",108,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","K _ug/mL","0.548","june"
"109",109,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Mg_ug/mL","0.538","june"
"110",110,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Mn_ug/mL","0.4","june"
"111",111,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","Na_ug/mL","0.804","june"
"112",112,14,"East","Hydric","2","Jun-24","6-24-2021","2021-06-24","P_ug/mL","<0.1","june"
"113",113,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.48","june"
"114",114,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","11.87812134","june"
"115",115,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","4.105","june"
"116",116,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.245","june"
"117",117,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.781","june"
"118",118,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.172","june"
"119",119,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","0.916","june"
"120",120,15,"East","Hydric","1","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.051","june"
"121",121,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.606","june"
"122",122,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.678","june"
"123",123,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","14.17208834","june"
"124",124,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.191","june"
"125",125,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.88","june"
"126",126,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","1.143","june"
"127",127,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.357","june"
"128",128,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.083","june"
"129",129,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.478","june"
"130",130,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","6.362","june"
"131",131,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","28.00195239","june"
"132",132,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.992","june"
"133",133,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.927","june"
"134",134,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.578","june"
"135",135,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.1","june"
"136",136,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.077","june"
"137",137,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.364","june"
"138",138,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.685","june"
"139",139,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","23.07182216","june"
"140",140,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.935","june"
"141",141,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.685","june"
"142",142,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.463","june"
"143",143,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.293","june"
"144",144,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.094","june"
"145",145,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.355","june"
"146",146,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","6.709","june"
"147",147,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","28.63965243","june"
"148",148,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","K _ug/mL","2.064","june"
"149",149,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","1.464","june"
"150",150,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","1.079","june"
"151",151,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.06","june"
"152",152,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.067","june"
"153",153,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.353","june"
"154",154,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.658","june"
"155",155,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","16.1044784","june"
"156",156,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.005","june"
"157",157,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.971","june"
"158",158,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.506","june"
"159",159,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.132","june"
"160",160,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.081","june"
"161",161,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.21","june"
"162",162,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","15.44462944","june"
"163",163,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","22.46289741","june"
"164",164,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.728","june"
"165",165,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","1.23","june"
"166",166,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.388","june"
"167",167,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.144","june"
"168",168,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.076","june"
"169",169,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.431","june"
"170",170,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","10.33460272","june"
"171",171,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","20.67575513","june"
"172",172,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.873","june"
"173",173,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.973","june"
"174",174,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.378","june"
"175",175,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.204","june"
"176",176,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.065","june"
"177",177,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.326","june"
"178",178,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","6.219","june"
"179",179,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","10.05335631","june"
"180",180,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.745","june"
"181",181,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.847","june"
"182",182,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.219","june"
"183",183,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.04","june"
"184",184,23,"East","Transect","T1","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.07","june"
"185",185,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.338","june"
"186",186,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","18.08983258","june"
"187",187,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","14.97915735","june"
"188",188,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.014","june"
"189",189,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","1.342","june"
"190",190,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.433","june"
"191",191,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.081","june"
"192",192,24,"East","Transect","T3","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.07","june"
"193",193,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.437","june"
"194",194,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.781","june"
"195",195,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","19.57682397","june"
"196",196,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.534","june"
"197",197,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.856","june"
"198",198,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.559","june"
"199",199,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","0.843","june"
"200",200,25,"East","Transect","T4","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.051","june"
"201",201,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.635","june"
"202",202,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","3.544","june"
"203",203,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","20.78481975","june"
"204",204,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.824","june"
"205",205,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.816","june"
"206",206,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.432","june"
"207",207,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.011","june"
"208",208,26,"East","Transect","T5","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.057","june"
"209",209,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.398","june"
"210",210,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","3.853","june"
"211",211,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","12.46422338","june"
"212",212,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.321","june"
"213",213,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.719","june"
"214",214,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.369","june"
"215",215,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","0.968","june"
"216",216,27,"East","Transect","T6","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.081","june"
"217",217,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.348","june"
"218",218,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.141","june"
"219",219,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","18.10137966","june"
"220",220,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.874","june"
"221",221,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.933","june"
"222",222,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.466","june"
"223",223,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","0.907","june"
"224",224,28,"East","Transect","T7","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.07","june"
"225",225,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.348","june"
"226",226,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","5.315","june"
"227",227,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","54.24323473","june"
"228",228,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.831","june"
"229",229,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","1.047","june"
"230",230,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","1.085","june"
"231",231,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.112","june"
"232",232,29,"East","Transect","T8","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.092","june"
"233",233,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.446","june"
"234",234,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.679","june"
"235",235,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","15.2357067","june"
"236",236,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.15","june"
"237",237,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.786","june"
"238",238,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.353","june"
"239",239,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.071","june"
"240",240,30,"East","Transect","T9","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.092","june"
"241",241,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.517","june"
"242",242,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","3.874","june"
"243",243,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","7.358066462","june"
"244",244,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","K _ug/mL","1.023","june"
"245",245,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.857","june"
"246",246,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.218","june"
"247",247,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","0.882","june"
"248",248,31,"East","Transect","T10","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.066","june"
"249",249,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.358","june"
"250",250,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","4.075","june"
"251",251,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","15.30953622","june"
"252",252,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.96","june"
"253",253,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Mg_ug/mL","0.794","june"
"254",254,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Mn_ug/mL","0.334","june"
"255",255,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","Na_ug/mL","1.141","june"
"256",256,32,"East","Transect","T11","Jun-28","6-28-2021","2021-06-28","P_ug/mL","0.07","june"
"257",257,33,"East","Transect","T12","Jun-28","6-28-2021","2021-06-28","Al_ug/mL","0.457","june"
"258",258,33,"East","Transect","T12","Jun-28","6-28-2021","2021-06-28","Ca_ug/mL","3.338","june"
"259",259,33,"East","Transect","T12","Jun-28","6-28-2021","2021-06-28","Fe _ug/mL","25.33795945","june"
"260",260,33,"East","Transect","T12","Jun-28","6-28-2021","2021-06-28","K _ug/mL","0.969","june"
