"","site","position","depth_cm","month","redox_avg_mV","redox_sd","year"
"58","non-acidic tundra","hydric",53,"late summer",31.54,146.68,2021
"59","acidic tundra","dry",5,"early fall",709.48,42.15,2021
"60","acidic tundra","dry",5,"early summer",552.1,207.58,2021
"61","acidic tundra","dry",5,"late summer",718.75,30.17,2021
"62","acidic tundra","dry",5,"mid summer",674.12,94.11,2021
"63","acidic tundra","dry",10,"early fall",666.59,38.92,2021
"64","acidic tundra","dry",10,"early summer",449.44,165.78,2021
"65","acidic tundra","dry",10,"late summer",616.55,78.56,2021
"66","acidic tundra","dry",10,"mid summer",514.43,175.49,2021
"67","acidic tundra","dry",15,"early fall",644.74,148.58,2021
"68","acidic tundra","dry",15,"late summer",719.57,39.49,2021
"69","acidic tundra","dry",15,"mid summer",650.7,85.09,2021
"70","acidic tundra","dry",20,"early fall",-112.29,46.15,2021
"71","acidic tundra","dry",20,"early summer",439.92,139.41,2021
"72","acidic tundra","dry",20,"late summer",-55.43,114.44,2021
"73","acidic tundra","dry",20,"mid summer",109.57,185.63,2021
"74","acidic tundra","dry",25,"early fall",62.17,131.42,2021
"75","acidic tundra","dry",25,"late summer",-24.83,265.61,2021
"76","acidic tundra","dry",25,"mid summer",517.59,214.97,2021
"77","acidic tundra","dry",30,"early fall",-71.83,30.08,2021
"78","acidic tundra","dry",30,"early summer",417.94,179.53,2021
"79","acidic tundra","dry",30,"late summer",-18.82,147.73,2021
"80","acidic tundra","dry",30,"mid summer",356.97,112.91,2021
"81","acidic tundra","mesic",1,"early summer",574.26,61.75,2021
"82","acidic tundra","mesic",1,"late summer",506.22,116.97,2021
"83","acidic tundra","mesic",1,"mid summer",504.54,83.73,2021
"84","acidic tundra","mesic",5,"early summer",704.13,25.15,2021
"85","acidic tundra","mesic",5,"late summer",782.35,66.98,2021
"86","acidic tundra","mesic",5,"mid summer",735.27,26.17,2021
"87","acidic tundra","mesic",6,"early summer",751.06,30.02,2021
"88","acidic tundra","mesic",6,"late summer",716.2,59.56,2021
"89","acidic tundra","mesic",6,"mid summer",716.92,51.95,2021
"90","acidic tundra","mesic",10,"early summer",536.96,25.16,2021
"91","acidic tundra","mesic",10,"late summer",407.94,51.41,2021
"92","acidic tundra","mesic",10,"mid summer",475.24,183.21,2021
"93","acidic tundra","mesic",16,"early summer",-218.95,16.92,2021
"94","acidic tundra","mesic",16,"late summer",596.78,179.7,2021
"95","acidic tundra","mesic",16,"mid summer",534.99,272.69,2021
"96","acidic tundra","mesic",20,"late summer",169.17,32.34,2021
"97","acidic tundra","mesic",20,"mid summer",152.18,246.76,2021
"98","acidic tundra","mesic",26,"early summer",-231.59,10.56,2021
"99","acidic tundra","mesic",26,"late summer",-13.44,118.51,2021
"100","acidic tundra","mesic",26,"mid summer",-160.89,81.15,2021
"101","acidic tundra","mesic",30,"early summer",49.14,100.54,2021
"102","acidic tundra","mesic",30,"late summer",184.29,23.08,2021
"103","acidic tundra","mesic",30,"mid summer",262.54,70.12,2021
"104","acidic tundra","hydric",1,"early summer",678.92,7.73,2021
"105","acidic tundra","hydric",1,"late summer",538.35,84.46,2021
"106","acidic tundra","hydric",1,"mid summer",700.09,85.39,2021
"107","acidic tundra","hydric",3,"early summer",197.69,36,2021
"108","acidic tundra","hydric",3,"late summer",515.69,163.83,2021
"109","acidic tundra","hydric",3,"mid summer",545.62,274.84,2021
"110","acidic tundra","hydric",5,"early summer",-37.72,3.72,2021
"111","acidic tundra","hydric",5,"late summer",340.94,78.67,2021
"112","acidic tundra","hydric",5,"mid summer",311.86,282.23,2021
"113","acidic tundra","hydric",7,"early summer",315.71,321.02,2021
"114","acidic tundra","hydric",7,"late summer",526.66,86.59,2021
"115","acidic tundra","hydric",7,"mid summer",585.59,244.34,2021
"116","acidic tundra","hydric",9,"early summer",185.72,206.78,2021
"117","acidic tundra","hydric",9,"late summer",469.32,254.45,2021
"118","acidic tundra","hydric",9,"mid summer",439.72,259.91,2021
"119","acidic tundra","hydric",11,"early summer",406.71,7.55,2021
"120","acidic tundra","hydric",11,"late summer",631.2,22.75,2021
"121","acidic tundra","hydric",11,"mid summer",621.24,90.01,2021
"122","acidic tundra","hydric",13,"early summer",-95.92,10.46,2021
"123","acidic tundra","hydric",13,"late summer",604.29,45.37,2021
"124","acidic tundra","hydric",13,"mid summer",433.43,208.4,2021
"125","acidic tundra","hydric",15,"early summer",-126.38,7.93,2021
"126","acidic tundra","hydric",15,"late summer",596.77,85.99,2021
"127","acidic tundra","hydric",15,"mid summer",467.16,306.05,2021
"128","acidic tundra","hydric",19,"early summer",-20.01,23.07,2021
"129","acidic tundra","hydric",19,"late summer",51.37,91.99,2021
"130","acidic tundra","hydric",19,"mid summer",310.34,213.81,2021
"131","acidic tundra","hydric",23,"early summer",446.03,3,2021
"132","acidic tundra","hydric",23,"late summer",271.54,12.34,2021
"133","acidic tundra","hydric",23,"mid summer",394.81,74.71,2021
"134","acidic tundra","hydric",25,"late summer",-143.38,20.26,2021
"135","acidic tundra","hydric",25,"mid summer",68.84,241.12,2021
"136","acidic tundra","hydric",29,"early summer",-232.11,10.37,2021
"137","acidic tundra","hydric",29,"late summer",55.18,46.5,2021
"138","acidic tundra","hydric",29,"mid summer",189.03,91.42,2021
"139","acidic tundra","hydric",35,"late summer",-123.48,11,2021
"140","acidic tundra","hydric",35,"mid summer",-220.11,36.9,2021
"141","acidic tundra","hydric",43,"early summer",171.67,7.87,2021
"142","acidic tundra","hydric",43,"late summer",371.97,11.61,2021
"143","acidic tundra","hydric",43,"mid summer",363,39.78,2021
"144","acidic tundra","hydric",49,"late summer",216.4,8.76,2021
"145","acidic tundra","hydric",49,"mid summer",213.11,103.25,2021
"146","acidic tundra","hydric",55,"late summer",-211.42,31.08,2021
"147","acidic tundra","hydric",55,"mid summer",-208.78,26.61,2021
