"","X","ID","Area","Site","Plot","Sample","date","Betterdate","ICP","concentration","month","area_site"
"44",123,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","iron",14.17208834,"june","East-Hydric"
"45",124,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","potassium",1.191,"june","East-Hydric"
"46",125,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","magnesium",0.88,"june","East-Hydric"
"47",126,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","manganese",1.143,"june","East-Hydric"
"48",127,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","sodium",1.357,"june","East-Hydric"
"49",128,16,"East","Hydric","2","Jun-28","6-28-2021","2021-06-28","phosphorus",0.083,"june","East-Hydric"
"50",130,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","calcium",6.362,"june","East-Hydric"
"51",131,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","iron",28.00195239,"june","East-Hydric"
"52",132,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","potassium",0.992,"june","East-Hydric"
"53",133,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","magnesium",0.927,"june","East-Hydric"
"54",134,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","manganese",0.578,"june","East-Hydric"
"55",135,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","sodium",1.1,"june","East-Hydric"
"56",136,17,"East","Hydric","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.077,"june","East-Hydric"
"57",138,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","calcium",4.685,"june","East-Mesic"
"58",139,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","iron",23.07182216,"june","East-Mesic"
"59",140,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","potassium",1.935,"june","East-Mesic"
"60",141,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","magnesium",0.685,"june","East-Mesic"
"61",142,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","manganese",0.463,"june","East-Mesic"
"62",143,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","sodium",1.293,"june","East-Mesic"
"63",144,18,"East","Mesic","1","Jun-28","6-28-2021","2021-06-28","phosphorus",0.094,"june","East-Mesic"
"64",146,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","calcium",6.709,"june","East-Mesic"
"65",147,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","iron",28.63965243,"june","East-Mesic"
"66",148,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","potassium",2.064,"june","East-Mesic"
"67",149,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","magnesium",1.464,"june","East-Mesic"
"68",150,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","manganese",1.079,"june","East-Mesic"
"69",151,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","sodium",1.06,"june","East-Mesic"
"70",152,19,"East","Mesic","2","Jun-28","6-28-2021","2021-06-28","phosphorus",0.067,"june","East-Mesic"
"71",154,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","calcium",4.658,"june","East-Mesic"
"72",155,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","iron",16.1044784,"june","East-Mesic"
"73",156,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","potassium",1.005,"june","East-Mesic"
"74",157,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","magnesium",0.971,"june","East-Mesic"
"75",158,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","manganese",0.506,"june","East-Mesic"
"76",159,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","sodium",1.132,"june","East-Mesic"
"77",160,20,"East","Mesic","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.081,"june","East-Mesic"
"78",162,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","calcium",15.44462944,"june","East-Dry"
"79",163,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","iron",22.46289741,"june","East-Dry"
"80",164,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","potassium",0.728,"june","East-Dry"
"81",165,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","magnesium",1.23,"june","East-Dry"
"82",166,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","manganese",0.388,"june","East-Dry"
"83",167,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","sodium",1.144,"june","East-Dry"
"84",168,21,"East","Dry","1","Jun-28","6-28-2021","2021-06-28","phosphorus",0.076,"june","East-Dry"
"85",170,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","calcium",10.33460272,"june","East-Dry"
"86",171,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","iron",20.67575513,"june","East-Dry"
"87",172,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","potassium",0.873,"june","East-Dry"
"88",173,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","magnesium",0.973,"june","East-Dry"
"89",174,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","manganese",0.378,"june","East-Dry"
"90",175,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","sodium",1.204,"june","East-Dry"
"91",176,22,"East","Dry","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.065,"june","East-Dry"
"92",274,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","calcium",5.824,"june","West-Mesic"
"93",275,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","iron",14.52196437,"june","West-Mesic"
"94",276,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","potassium",0.357,"june","West-Mesic"
"95",277,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","magnesium",0.8,"june","West-Mesic"
"96",278,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","manganese",0.24,"june","West-Mesic"
"97",279,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","sodium",0.854,"june","West-Mesic"
"98",280,35,"West","Mesic","2","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Mesic"
"99",282,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","calcium",5.235,"june","West-Mesic"
"100",283,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","iron",20.73884237,"june","West-Mesic"
"101",284,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","potassium",0.664,"june","West-Mesic"
"102",285,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","magnesium",0.686,"june","West-Mesic"
"103",286,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","manganese",0.342,"june","West-Mesic"
"104",287,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","sodium",1.119,"june","West-Mesic"
"105",288,36,"West","Mesic","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Mesic"
"106",290,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","calcium",9.29,"june","West-Dry"
"107",291,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","iron",9.995194932,"june","West-Dry"
"108",292,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","potassium",1.02,"june","West-Dry"
"109",293,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","magnesium",1.305,"june","West-Dry"
"110",294,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","manganese",0.18,"june","West-Dry"
"111",295,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","sodium",1.197,"june","West-Dry"
"112",296,37,"West","Dry","1","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Dry"
"113",298,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","calcium",5.865,"june","West-Dry"
"114",299,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","iron",41.25369233,"june","West-Dry"
"115",300,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","potassium",0.436,"june","West-Dry"
"116",301,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","magnesium",0.745,"june","West-Dry"
"117",302,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","manganese",0.675,"june","West-Dry"
"118",303,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","sodium",1.087,"june","West-Dry"
"119",304,38,"West","Dry","2","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Dry"
"120",306,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","calcium",5.985,"june","West-Dry"
"121",307,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","iron",14.29693235,"june","West-Dry"
"122",308,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","potassium",0.467,"june","West-Dry"
"123",309,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","magnesium",0.634,"june","West-Dry"
"124",310,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","manganese",0.238,"june","West-Dry"
"125",311,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","sodium",0.833,"june","West-Dry"
"126",312,39,"West","Dry","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Dry"
"127",314,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","calcium",29.68720174,"june","West-Hydric"
"128",315,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","iron",26.30192681,"june","West-Hydric"
"129",316,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","potassium",0.8,"june","West-Hydric"
"130",317,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","magnesium",4.171,"june","West-Hydric"
"131",318,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","manganese",0.776,"june","West-Hydric"
"132",319,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","sodium",1.19,"june","West-Hydric"
"133",320,40,"West","Hydric","1","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Hydric"
"134",322,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","calcium",14.79578263,"june","West-Hydric"
"135",323,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","iron",10.5720024,"june","West-Hydric"
"136",324,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","potassium",0.444,"june","West-Hydric"
"137",325,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","magnesium",1.676,"june","West-Hydric"
"138",326,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","manganese",0.249,"june","West-Hydric"
"139",327,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","sodium",0.892,"june","West-Hydric"
"140",328,41,"West","Hydric","2","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Hydric"
"141",330,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","calcium",25.51298752,"june","West-Hydric"
"142",331,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","iron",8.558730537,"june","West-Hydric"
"143",332,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","potassium",0.758,"june","West-Hydric"
"144",333,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","magnesium",3.462,"june","West-Hydric"
"145",334,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","manganese",0.151,"june","West-Hydric"
"146",335,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","sodium",1.125,"june","West-Hydric"
"147",336,42,"West","Hydric","3","Jun-28","6-28-2021","2021-06-28","phosphorus",0.05,"june","West-Hydric"
"148",362,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","calcium",4.007,"july","East-Hydric"
"149",363,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","iron",5.818,"july","East-Hydric"
"150",364,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","potassium",1.015,"july","East-Hydric"
"151",365,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","magnesium",0.911,"july","East-Hydric"
"152",366,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","manganese",0.25,"july","East-Hydric"
"153",367,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","sodium",1.115,"july","East-Hydric"
"154",368,46,"East","Hydric","1","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Hydric"
"155",370,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","calcium",3.911,"july","East-Hydric"
"156",371,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","iron",5.865,"july","East-Hydric"
"157",372,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","potassium",0.984,"july","East-Hydric"
"158",373,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","magnesium",0.755,"july","East-Hydric"
"159",374,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","manganese",0.163,"july","East-Hydric"
"160",375,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","sodium",0.899,"july","East-Hydric"
"161",376,47,"East","Hydric","2","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Hydric"
"162",378,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","calcium",3.761,"july","East-Hydric"
"163",379,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","iron",5.117,"july","East-Hydric"
"164",380,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","potassium",1.041,"july","East-Hydric"
"165",381,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","magnesium",0.803,"july","East-Hydric"
"166",382,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","manganese",0.764,"july","East-Hydric"
"167",383,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","sodium",0.957,"july","East-Hydric"
"168",384,48,"East","Hydric","3","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Hydric"
"169",386,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","calcium",5.688,"july","East-Dry"
"170",387,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","iron",1.257,"july","East-Dry"
"171",388,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","potassium",1.16,"july","East-Dry"
"172",389,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","magnesium",0.797,"july","East-Dry"
"173",390,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","manganese",0.08,"july","East-Dry"
"174",391,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","sodium",0.907,"july","East-Dry"
"175",392,49,"East","Dry","1","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Dry"
"176",394,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","calcium",3.859,"july","East-Dry"
"177",395,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","iron",3.627,"july","East-Dry"
"178",396,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","potassium",0.864,"july","East-Dry"
"179",397,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","magnesium",0.755,"july","East-Dry"
"180",398,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","manganese",0.13,"july","East-Dry"
"181",399,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","sodium",0.889,"july","East-Dry"
"182",400,50,"East","Dry","3","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Dry"
"183",402,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","calcium",3.686,"july","East-Mesic"
"184",403,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","iron",5.28,"july","East-Mesic"
"185",404,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","potassium",1.054,"july","East-Mesic"
"186",405,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","magnesium",0.787,"july","East-Mesic"
"187",406,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","manganese",0.19,"july","East-Mesic"
"188",407,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","sodium",1.011,"july","East-Mesic"
"189",408,51,"East","Mesic","1","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Mesic"
"190",410,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","calcium",4.974,"july","East-Mesic"
"191",411,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","iron",4.851,"july","East-Mesic"
"192",412,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","potassium",2.407,"july","East-Mesic"
"193",413,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","magnesium",1.225,"july","East-Mesic"
"194",414,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","manganese",0.434,"july","East-Mesic"
"195",415,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","sodium",0.921,"july","East-Mesic"
"196",416,52,"East","Mesic","2","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Mesic"
"197",418,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","calcium",4.103,"july","East-Mesic"
"198",419,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","iron",15.29317119,"july","East-Mesic"
"199",420,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","potassium",1.852,"july","East-Mesic"
"200",421,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","magnesium",0.912,"july","East-Mesic"
"201",422,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","manganese",0.497,"july","East-Mesic"
"202",423,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","sodium",1,"july","East-Mesic"
"203",424,53,"East","Mesic","3","Jul-6","7-6-2021","2021-07-06","phosphorus",0.05,"july","East-Mesic"
"204",514,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","calcium",10.381,"july","West-Dry"
"205",515,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","iron",0.719,"july","West-Dry"
"206",516,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","potassium",0.636,"july","West-Dry"
"207",517,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","magnesium",1.5,"july","West-Dry"
"208",518,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","manganese",0.03,"july","West-Dry"
"209",519,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","sodium",0.05,"july","West-Dry"
"210",520,65,"West","Dry","1","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Dry"
"211",522,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","calcium",7.545,"july","West-Dry"
"212",523,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","iron",0.635,"july","West-Dry"
"213",524,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","potassium",0.431,"july","West-Dry"
"214",525,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","magnesium",0.817,"july","West-Dry"
"215",526,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","manganese",0.03,"july","West-Dry"
"216",527,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","sodium",0.05,"july","West-Dry"
"217",528,66,"West","Dry","3","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Dry"
"218",530,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","calcium",9.673,"july","West-Mesic"
"219",531,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","iron",1.491,"july","West-Mesic"
"220",532,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","potassium",0.607,"july","West-Mesic"
"221",533,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","magnesium",1.253,"july","West-Mesic"
"222",534,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","manganese",0.03,"july","West-Mesic"
"223",535,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","sodium",0.061,"july","West-Mesic"
"224",536,67,"West","Mesic","1","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Mesic"
"225",538,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","calcium",7.271,"july","West-Mesic"
"226",539,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","iron",0.872,"july","West-Mesic"
"227",540,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","potassium",4.987,"july","West-Mesic"
"228",541,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","magnesium",0.963,"july","West-Mesic"
"229",542,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","manganese",0.03,"july","West-Mesic"
"230",543,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","sodium",0.05,"july","West-Mesic"
"231",544,68,"West","Mesic","2","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Mesic"
"232",546,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","calcium",6.018,"july","West-Mesic"
"233",547,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","iron",0.682,"july","West-Mesic"
"234",548,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","potassium",0.643,"july","West-Mesic"
"235",549,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","magnesium",0.797,"july","West-Mesic"
"236",550,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","manganese",0.03,"july","West-Mesic"
"237",551,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","sodium",0.05,"july","West-Mesic"
"238",552,69,"West","Mesic","3","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Mesic"
"239",554,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","calcium",30.07889936,"july","West-Hydric"
"240",555,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","iron",2.489,"july","West-Hydric"
"241",556,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","potassium",0.391,"july","West-Hydric"
"242",557,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","magnesium",4.139,"july","West-Hydric"
"243",558,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","manganese",0.204,"july","West-Hydric"
"244",559,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","sodium",0.279,"july","West-Hydric"
"245",560,70,"West","Hydric","1","Jul-7","7-7-2021","2021-07-07","phosphorus",0.05,"july","West-Hydric"
"246",562,71,"West","Hydric","2","Jul-7","7-7-2021","2021-07-07","calcium",20.53748292,"july","West-Hydric"
"247",563,71,"West","Hydric","2","Jul-7","7-7-2021","2021-07-07","iron",3.078,"july","West-Hydric"
"248",564,71,"West","Hydric","2","Jul-7","7-7-2021","2021-07-07","potassium",2.102,"july","West-Hydric"
