"","Area","Site","month","Betterdate","ICP","mean","n","sd","combo"
"80","East","Mesic","july","2021-07-14","sodium",0.306833333333333,6,0.0866800310208631,"East - Mesic"
"81","East","Mesic","july","2021-07-30","aluminum",0.4965,6,0.0286795513679462,"East - Mesic"
"82","East","Mesic","july","2021-07-30","calcium",4.6965,6,0.322039723222669,"East - Mesic"
"83","East","Mesic","july","2021-07-30","iron",0.6695,6,0.0753842379634718,"East - Mesic"
"84","East","Mesic","july","2021-07-30","magnesium",1.131,6,0.0894229649847659,"East - Mesic"
"85","East","Mesic","july","2021-07-30","manganese",0.179,6,0.0566274374015518,"East - Mesic"
"86","East","Mesic","july","2021-07-30","phosphorus",0.05,6,0,"East - Mesic"
"87","East","Mesic","july","2021-07-30","potassium",1.61633333333333,6,0.0633333333333334,"East - Mesic"
"88","East","Mesic","july","2021-07-30","sodium",0.243166666666667,6,0.0729577122570176,"East - Mesic"
"89","East","Mesic","august","2021-08-07","aluminum",0.551666666666667,6,0.0530349989262856,"East - Mesic"
"90","East","Mesic","august","2021-08-07","calcium",4.857,6,0.578640417991462,"East - Mesic"
"91","East","Mesic","august","2021-08-07","iron",1.126,6,0.23167779349778,"East - Mesic"
"92","East","Mesic","august","2021-08-07","magnesium",1.16583333333333,6,0.142560260163125,"East - Mesic"
"93","East","Mesic","august","2021-08-07","manganese",0.162833333333333,6,0.0460654727293423,"East - Mesic"
"94","East","Mesic","august","2021-08-07","phosphorus",0.0501666666666667,6,0.000166666666666666,"East - Mesic"
"95","East","Mesic","august","2021-08-07","potassium",1.43916666666667,6,0.156484379767155,"East - Mesic"
"96","East","Mesic","august","2021-08-07","sodium",0.935833333333333,6,0.0743112448496936,"East - Mesic"
"97","East","Mesic","august","2021-08-10","aluminum",0.401,2,0.001,"East - Mesic"
"98","East","Mesic","august","2021-08-10","calcium",5.44,2,0,"East - Mesic"
"99","East","Mesic","august","2021-08-10","iron",2.171,2,0.00100000000000011,"East - Mesic"
"100","East","Mesic","august","2021-08-10","magnesium",0.83,2,0,"East - Mesic"
"101","East","Mesic","august","2021-08-10","manganese",0.1115,2,0.0015,"East - Mesic"
"102","East","Mesic","august","2021-08-10","phosphorus",0.068,2,0.002,"East - Mesic"
"103","East","Mesic","august","2021-08-10","potassium",0.889,2,0.001,"East - Mesic"
"104","East","Mesic","august","2021-08-10","sodium",1.228,2,0.002,"East - Mesic"
"105","East","Hydric","june","2021-06-24","aluminum",0.4,4,0.00637704215656965,"East - Hydric"
"106","East","Hydric","june","2021-06-24","calcium",2.48125,4,0.063368466132612,"East - Hydric"
"107","East","Hydric","june","2021-06-24","iron",17.4995120375,4,2.20058439487714,"East - Hydric"
"108","East","Hydric","june","2021-06-24","magnesium",0.58825,4,0.0284557404870558,"East - Hydric"
"109","East","Hydric","june","2021-06-24","manganese",0.541,4,0.0814104825355228,"East - Hydric"
"110","East","Hydric","june","2021-06-24","phosphorus",0.05,4,0,"East - Hydric"
"111","East","Hydric","june","2021-06-24","potassium",0.62375,4,0.0431632077121244,"East - Hydric"
"112","East","Hydric","june","2021-06-24","sodium",0.75975,4,0.0244280405818123,"East - Hydric"
"113","East","Hydric","june","2021-06-28","aluminum",0.522333333333333,6,0.0270969452972922,"East - Hydric"
"114","East","Hydric","june","2021-06-28","calcium",7.63968689,6,1.37533026220779,"East - Hydric"
"115","East","Hydric","june","2021-06-28","iron",15.4265067883333,6,4.38036064126241,"East - Hydric"
"116","East","Hydric","june","2021-06-28","magnesium",0.863,6,0.0275535841588712,"East - Hydric"
"117","East","Hydric","june","2021-06-28","manganese",0.6305,6,0.17793589669691,"East - Hydric"
"118","East","Hydric","june","2021-06-28","phosphorus",0.0701666666666667,6,0.0062685280923391,"East - Hydric"
"119","East","Hydric","june","2021-06-28","potassium",1.143,6,0.0491853636766061,"East - Hydric"
"120","East","Hydric","june","2021-06-28","sodium",1.1255,6,0.0808297593711623,"East - Hydric"
"121","East","Hydric","july","2021-07-06","aluminum",0.592833333333333,6,0.0141431176823845,"East - Hydric"
"122","East","Hydric","july","2021-07-06","calcium",3.89316666666667,6,0.0456109757745996,"East - Hydric"
"123","East","Hydric","july","2021-07-06","iron",5.60166666666667,6,0.153049156954373,"East - Hydric"
"124","East","Hydric","july","2021-07-06","magnesium",0.823166666666667,6,0.0287719964162687,"East - Hydric"
"125","East","Hydric","july","2021-07-06","manganese",0.391166666666667,6,0.118377480027993,"East - Hydric"
"126","East","Hydric","july","2021-07-06","phosphorus",0.05,6,0,"East - Hydric"
"127","East","Hydric","july","2021-07-06","potassium",1.01333333333333,6,0.0107940312724724,"East - Hydric"
"128","East","Hydric","july","2021-07-06","sodium",0.991833333333333,6,0.0411804295482427,"East - Hydric"
"129","East","Hydric","july","2021-07-14","aluminum",0.482833333333333,6,0.0167857413035919,"East - Hydric"
"130","East","Hydric","july","2021-07-14","calcium",2.97216666666667,6,0.152039121427495,"East - Hydric"
"131","East","Hydric","july","2021-07-14","iron",1.0095,6,0.0641507339526733,"East - Hydric"
"132","East","Hydric","july","2021-07-14","magnesium",0.684666666666667,6,0.0213333333333333,"East - Hydric"
"133","East","Hydric","july","2021-07-14","manganese",0.0766666666666667,6,0.0151231977805989,"East - Hydric"
"134","East","Hydric","july","2021-07-14","phosphorus",0.05,6,0,"East - Hydric"
"135","East","Hydric","july","2021-07-14","potassium",0.9635,6,0.394347541305044,"East - Hydric"
"136","East","Hydric","july","2021-07-14","sodium",0.125833333333333,6,0.0154130175861546,"East - Hydric"
"137","East","Hydric","july","2021-07-30","aluminum",0.409833333333333,6,0.0152543254339366,"East - Hydric"
"138","East","Hydric","july","2021-07-30","calcium",2.932,6,0.175767270370036,"East - Hydric"
"139","East","Hydric","july","2021-07-30","iron",0.363,6,0.0188290555613746,"East - Hydric"
"140","East","Hydric","july","2021-07-30","magnesium",0.680166666666667,6,0.0257454418835214,"East - Hydric"
"141","East","Hydric","july","2021-07-30","manganese",0.218166666666667,6,0.0790284407314509,"East - Hydric"
"142","East","Hydric","july","2021-07-30","phosphorus",0.05,6,0,"East - Hydric"
"143","East","Hydric","july","2021-07-30","potassium",0.304333333333333,6,0.0188691400027782,"East - Hydric"
"144","East","Hydric","july","2021-07-30","sodium",0.295833333333333,6,0.0989553490778094,"East - Hydric"
"145","East","Hydric","august","2021-08-07","aluminum",0.487333333333333,6,0.0633564869957643,"East - Hydric"
"146","East","Hydric","august","2021-08-07","calcium",3.99716666666667,6,0.614104248298103,"East - Hydric"
"147","East","Hydric","august","2021-08-07","iron",1.5635,6,0.225296212425627,"East - Hydric"
"148","East","Hydric","august","2021-08-07","magnesium",0.905166666666667,6,0.169569340127014,"East - Hydric"
"149","East","Hydric","august","2021-08-07","manganese",1.28383333333333,6,0.725864836668034,"East - Hydric"
"150","East","Hydric","august","2021-08-07","phosphorus",0.0595,6,0.00334414911948217,"East - Hydric"
"151","East","Hydric","august","2021-08-07","potassium",0.517333333333333,6,0.0925504066861825,"East - Hydric"
"152","East","Hydric","august","2021-08-07","sodium",0.663833333333333,6,0.0245647670002746,"East - Hydric"
"153","East","Hydric","august","2021-08-10","aluminum",0.540166666666667,6,0.0602142932459654,"East - Hydric"
"154","East","Hydric","august","2021-08-10","calcium",4.22283333333333,6,0.635929158353699,"East - Hydric"
"155","East","Hydric","august","2021-08-10","iron",2.8565,6,0.369898251775629,"East - Hydric"
"156","East","Hydric","august","2021-08-10","magnesium",0.866,6,0.122544957736606,"East - Hydric"
"157","East","Hydric","august","2021-08-10","manganese",1.13383333333333,6,0.469498343388392,"East - Hydric"
"158","East","Hydric","august","2021-08-10","phosphorus",0.0896666666666667,6,0.021855078230115,"East - Hydric"
"159","East","Hydric","august","2021-08-10","potassium",1.69016666666667,6,0.259172068539631,"East - Hydric"
"160","East","Hydric","august","2021-08-10","sodium",1.30966666666667,6,0.167429520827256,"East - Hydric"
"161","West","Dry","june","2021-06-28","aluminum",0.103666666666667,6,0.00957311048951408,"West - Dry"
"162","West","Dry","june","2021-06-28","calcium",7.04833333333333,6,0.709216312402484,"West - Dry"
"163","West","Dry","june","2021-06-28","iron",21.8493032686667,6,6.18566489891601,"West - Dry"
"164","West","Dry","june","2021-06-28","magnesium",0.895666666666667,6,0.131933484924959,"West - Dry"
"165","West","Dry","june","2021-06-28","manganese",0.3655,6,0.0992517841989083,"West - Dry"
"166","West","Dry","june","2021-06-28","phosphorus",0.05,6,0,"West - Dry"
"167","West","Dry","june","2021-06-28","potassium",0.642166666666667,6,0.119612824470363,"West - Dry"
"168","West","Dry","june","2021-06-28","sodium",1.0395,6,0.0687763282920318,"West - Dry"
"169","West","Dry","july","2021-07-07","aluminum",0.0845,4,0.0029011491975882,"West - Dry"
"170","West","Dry","july","2021-07-07","calcium",8.964,4,0.817817318639479,"West - Dry"
"171","West","Dry","july","2021-07-07","iron",0.6785,4,0.0236942327722732,"West - Dry"
"172","West","Dry","july","2021-07-07","magnesium",1.15925,4,0.196733057296768,"West - Dry"
"173","West","Dry","july","2021-07-07","manganese",0.03,4,0,"West - Dry"
"174","West","Dry","july","2021-07-07","phosphorus",0.05,4,0,"West - Dry"
"175","West","Dry","july","2021-07-07","potassium",0.53425,4,0.0599060027598793,"West - Dry"
"176","West","Dry","july","2021-07-07","sodium",0.05,4,0,"West - Dry"
"177","West","Dry","july","2021-07-24","aluminum",0.1135,4,0.00330403793359983,"West - Dry"
"178","West","Dry","july","2021-07-24","calcium",10.0615,4,0.473428012831236,"West - Dry"
"179","West","Dry","july","2021-07-24","iron",0.27875,4,0.0226766215884701,"West - Dry"
"180","West","Dry","july","2021-07-24","magnesium",1.1685,4,0.14405178467019,"West - Dry"
"181","West","Dry","july","2021-07-24","manganese",0.03,4,0,"West - Dry"
"182","West","Dry","july","2021-07-24","phosphorus",0.089,4,0.0164873689026883,"West - Dry"
"183","West","Dry","july","2021-07-24","potassium",0.49575,4,0.0137378734404808,"West - Dry"
"184","West","Dry","july","2021-07-24","sodium",0.05,4,0,"West - Dry"
"185","West","Dry","july","2021-07-31","aluminum",0.0796666666666667,6,0.0136300322001739,"West - Dry"
"186","West","Dry","july","2021-07-31","calcium",11.465327055,6,1.00260825948524,"West - Dry"
"187","West","Dry","july","2021-07-31","iron",0.113333333333333,6,0.0264457516016803,"West - Dry"
"188","West","Dry","july","2021-07-31","magnesium",1.43616666666667,6,0.210015779830416,"West - Dry"
"189","West","Dry","july","2021-07-31","manganese",0.03,6,0,"West - Dry"
"190","West","Dry","july","2021-07-31","phosphorus",0.05,6,0,"West - Dry"
"191","West","Dry","july","2021-07-31","potassium",0.8915,6,0.335108415292723,"West - Dry"
"192","West","Dry","july","2021-07-31","sodium",0.05,6,0,"West - Dry"
"193","West","Dry","august","2021-08-07","aluminum",0.107,6,0.0108320512061813,"West - Dry"
"194","West","Dry","august","2021-08-07","calcium",11.3289099183333,6,0.969663455318068,"West - Dry"
"195","West","Dry","august","2021-08-07","iron",3.23,6,0.610626126747511,"West - Dry"
"196","West","Dry","august","2021-08-07","magnesium",1.40183333333333,6,0.16707172445124,"West - Dry"
"197","West","Dry","august","2021-08-07","manganese",0.0588333333333333,6,0.0105211427347244,"West - Dry"
"198","West","Dry","august","2021-08-07","phosphorus",0.05,6,0,"West - Dry"
"199","West","Dry","august","2021-08-07","potassium",0.473,6,0.043112256571266,"West - Dry"
"200","West","Dry","august","2021-08-07","sodium",1.08333333333333,6,0.134987818380442,"West - Dry"
"201","West","Dry","august","2021-08-10","aluminum",0.115,4,0.00895358401237553,"West - Dry"
"202","West","Dry","august","2021-08-10","calcium",11.05527602,4,0.36764427103797,"West - Dry"
"203","West","Dry","august","2021-08-10","iron",1.91925,4,0.616755404651363,"West - Dry"
"204","West","Dry","august","2021-08-10","magnesium",1.53875,4,0.115616733938763,"West - Dry"
"205","West","Dry","august","2021-08-10","manganese",0.04025,4,0.00592135964116351,"West - Dry"
"206","West","Dry","august","2021-08-10","phosphorus",0.05,4,0,"West - Dry"
"207","West","Dry","august","2021-08-10","potassium",0.69925,4,0.149967427018892,"West - Dry"
"208","West","Dry","august","2021-08-10","sodium",0.911,4,0.0346458270695525,"West - Dry"
"209","West","Mesic","june","2021-06-28","aluminum",0.086,4,0.00267706306736817,"West - Mesic"
"210","West","Mesic","june","2021-06-28","calcium",5.52975,4,0.168735678404618,"West - Mesic"
"211","West","Mesic","june","2021-06-28","iron",17.630201685,4,1.79510877563054,"West - Mesic"
"212","West","Mesic","june","2021-06-28","magnesium",0.744,4,0.0323419232575925,"West - Mesic"
"213","West","Mesic","june","2021-06-28","manganese",0.2905,4,0.0291590466236467,"West - Mesic"
"214","West","Mesic","june","2021-06-28","phosphorus",0.05,4,0,"West - Mesic"
"215","West","Mesic","june","2021-06-28","potassium",0.51025,4,0.0876188478582092,"West - Mesic"
"216","West","Mesic","june","2021-06-28","sodium",0.98575,4,0.0772251847952899,"West - Mesic"
"217","West","Mesic","july","2021-07-07","aluminum",0.249833333333333,6,0.101882421338412,"West - Mesic"
"218","West","Mesic","july","2021-07-07","calcium",7.65366666666667,6,0.677771183938782,"West - Mesic"
"219","West","Mesic","july","2021-07-07","iron",1.01416666666667,6,0.154573049972425,"West - Mesic"
"220","West","Mesic","july","2021-07-07","magnesium",1.00383333333333,6,0.0837852081880275,"West - Mesic"
"221","West","Mesic","july","2021-07-07","manganese",0.03,6,0,"West - Mesic"
"222","West","Mesic","july","2021-07-07","phosphorus",0.05,6,0,"West - Mesic"
"223","West","Mesic","july","2021-07-07","potassium",2.0795,6,0.919926545980711,"West - Mesic"
"224","West","Mesic","july","2021-07-07","sodium",0.0535,6,0.00221735578260834,"West - Mesic"
"225","West","Mesic","july","2021-07-24","aluminum",0.102833333333333,6,0.00815032378361607,"West - Mesic"
"226","West","Mesic","july","2021-07-24","calcium",9.78616666666667,6,0.768516511063866,"West - Mesic"
"227","West","Mesic","july","2021-07-24","iron",0.293666666666667,6,0.00916030081990275,"West - Mesic"
"228","West","Mesic","july","2021-07-24","magnesium",1.22766666666667,6,0.109794555622965,"West - Mesic"
"229","West","Mesic","july","2021-07-24","manganese",0.03,6,0,"West - Mesic"
"230","West","Mesic","july","2021-07-24","phosphorus",0.0683333333333333,6,0.000802772971919487,"West - Mesic"
"231","West","Mesic","july","2021-07-24","potassium",0.485666666666667,6,0.0455197148985409,"West - Mesic"
"232","West","Mesic","july","2021-07-24","sodium",0.05,6,0,"West - Mesic"
"233","West","Mesic","july","2021-07-31","aluminum",0.07,6,0.00640832791503889,"West - Mesic"
"234","West","Mesic","july","2021-07-31","calcium",8.91366613,6,1.27862696306149,"West - Mesic"
"235","West","Mesic","july","2021-07-31","iron",0.03,6,0,"West - Mesic"
"236","West","Mesic","july","2021-07-31","magnesium",1.10933333333333,6,0.158291643634288,"West - Mesic"
"237","West","Mesic","july","2021-07-31","manganese",0.03,6,0,"West - Mesic"
"238","West","Mesic","july","2021-07-31","phosphorus",0.05,6,0,"West - Mesic"
"239","West","Mesic","july","2021-07-31","potassium",0.290333333333333,6,0.0426690103522972,"West - Mesic"
"240","West","Mesic","july","2021-07-31","sodium",0.05,6,0,"West - Mesic"
"241","West","Mesic","august","2021-08-07","aluminum",0.0863333333333333,6,0.0100421334607963,"West - Mesic"
"242","West","Mesic","august","2021-08-07","calcium",9.97325572,6,1.12684234063661,"West - Mesic"
"243","West","Mesic","august","2021-08-07","iron",2.227,6,0.0948212353150214,"West - Mesic"
"244","West","Mesic","august","2021-08-07","magnesium",1.2835,6,0.143785430416298,"West - Mesic"
"245","West","Mesic","august","2021-08-07","manganese",0.03,6,0,"West - Mesic"
"246","West","Mesic","august","2021-08-07","phosphorus",0.05,6,0,"West - Mesic"
"247","West","Mesic","august","2021-08-07","potassium",0.603833333333333,6,0.0689426895649165,"West - Mesic"
"248","West","Mesic","august","2021-08-07","sodium",0.972833333333333,6,0.0596944534925798,"West - Mesic"
"249","West","Mesic","august","2021-08-10","aluminum",0.169666666666667,6,0.0315073183738495,"West - Mesic"
"250","West","Mesic","august","2021-08-10","calcium",10.56071104,6,0.931323090088799,"West - Mesic"
"251","West","Mesic","august","2021-08-10","iron",0.946833333333333,6,0.0304219401821193,"West - Mesic"
"252","West","Mesic","august","2021-08-10","magnesium",1.56383333333333,6,0.230607808001184,"West - Mesic"
"253","West","Mesic","august","2021-08-10","manganese",0.03,6,0,"West - Mesic"
"254","West","Mesic","august","2021-08-10","phosphorus",0.053,6,0.00191485421551268,"West - Mesic"
"255","West","Mesic","august","2021-08-10","potassium",1.69383333333333,6,0.375984788403881,"West - Mesic"
"256","West","Mesic","august","2021-08-10","sodium",1.27683333333333,6,0.168722734422813,"West - Mesic"
"257","West","Hydric","june","2021-06-28","aluminum",0.9505,6,0.568420017827193,"West - Hydric"
"258","West","Hydric","june","2021-06-28","calcium",23.3326619816667,6,2.8046103239551,"West - Hydric"
"259","West","Hydric","june","2021-06-28","iron",15.1437766245,6,3.54727658141972,"West - Hydric"
"260","West","Hydric","june","2021-06-28","magnesium",3.10316666666667,6,0.468924330545748,"West - Hydric"
"261","West","Hydric","june","2021-06-28","manganese",0.392666666666667,6,0.123187571523177,"West - Hydric"
"262","West","Hydric","june","2021-06-28","phosphorus",0.05,6,0,"West - Hydric"
"263","West","Hydric","june","2021-06-28","potassium",0.667,6,0.071546255434276,"West - Hydric"
"264","West","Hydric","june","2021-06-28","sodium",1.0695,6,0.0575926789328875,"West - Hydric"
"265","West","Hydric","july","2021-07-07","aluminum",0.08575,4,0.00852813969554127,"West - Hydric"
"266","West","Hydric","july","2021-07-07","calcium",26.2666229783333,6,1.84415678649469,"West - Hydric"
"267","West","Hydric","july","2021-07-07","iron",2.37316666666667,6,0.281388748491793,"West - Hydric"
"268","West","Hydric","july","2021-07-07","magnesium",3.4325,6,0.32633109464673,"West - Hydric"
"269","West","Hydric","july","2021-07-07","manganese",0.157833333333333,6,0.0410677624312685,"West - Hydric"
"270","West","Hydric","july","2021-07-07","phosphorus",0.0566666666666667,6,0.00421637021355784,"West - Hydric"
"271","West","Hydric","july","2021-07-07","potassium",1.027,6,0.341566586968534,"West - Hydric"
"272","West","Hydric","july","2021-07-07","sodium",0.2255,6,0.0506226234010052,"West - Hydric"
"273","West","Hydric","july","2021-07-24","aluminum",0.0861666666666667,6,0.00185142587693317,"West - Hydric"
"274","West","Hydric","july","2021-07-24","calcium",36.6790026816667,6,1.32631084812212,"West - Hydric"
"275","West","Hydric","july","2021-07-24","iron",1.58683333333333,6,0.399516742800321,"West - Hydric"
"276","West","Hydric","july","2021-07-24","magnesium",4.6445,6,0.303290592226883,"West - Hydric"
"277","West","Hydric","july","2021-07-24","manganese",0.173333333333333,6,0.0457279394292422,"West - Hydric"
"278","West","Hydric","july","2021-07-24","phosphorus",0.0758333333333333,6,0.004519709921862,"West - Hydric"
"279","West","Hydric","july","2021-07-24","potassium",0.575833333333333,6,0.0730700196919214,"West - Hydric"
"280","West","Hydric","july","2021-07-24","sodium",0.236833333333333,6,0.0595910601050564,"West - Hydric"
"281","West","Hydric","july","2021-07-31","aluminum",0.0571666666666667,6,0.00237229377982108,"West - Hydric"
"282","West","Hydric","july","2021-07-31","calcium",36.349099115,6,0.854642299881798,"West - Hydric"
"283","West","Hydric","july","2021-07-31","iron",0.738333333333333,6,0.196862162720801,"West - Hydric"
"284","West","Hydric","july","2021-07-31","magnesium",4.593,6,0.275832195365226,"West - Hydric"
"285","West","Hydric","july","2021-07-31","manganese",0.1365,6,0.035279597503373,"West - Hydric"
"286","West","Hydric","july","2021-07-31","phosphorus",0.05,6,0,"West - Hydric"
"287","West","Hydric","july","2021-07-31","potassium",0.498833333333333,6,0.0477272924482884,"West - Hydric"
"288","West","Hydric","july","2021-07-31","sodium",0.191833333333333,6,0.0466193212210464,"West - Hydric"
"289","West","Hydric","august","2021-08-07","aluminum",0.0965,4,0.0141745076340121,"West - Hydric"
"290","West","Hydric","august","2021-08-07","calcium",31.5009151975,4,3.79331867531461,"West - Hydric"
"291","West","Hydric","august","2021-08-07","iron",4.095,4,0.0892010837004424,"West - Hydric"
"292","West","Hydric","august","2021-08-07","magnesium",4.004,4,0.67780970780891,"West - Hydric"
"293","West","Hydric","august","2021-08-07","manganese",0.16875,4,0.00596343022093828,"West - Hydric"
"294","West","Hydric","august","2021-08-07","phosphorus",0.05,4,0,"West - Hydric"
"295","West","Hydric","august","2021-08-07","potassium",0.4495,4,0.0230958149167044,"West - Hydric"
"296","West","Hydric","august","2021-08-07","sodium",0.92825,4,0.0287413030323957,"West - Hydric"
