"","rep","site","area","date","ICP","concentration","concentration_undo_dilution"
"52","1","hydric","west",2022-06-29,"K_ug_ml",0.02,0.2
"53","1","hydric","west",2022-06-29,"Mg_ug_ml",0.53,5.3
"54","1","hydric","west",2022-06-29,"Mn_ug_ml",0.02,0.2
"55","1","hydric","west",2022-06-29,"Na_ug_ml",0.02,0.2
"56","1","hydric","west",2022-06-29,"P_ug_ml",0.005,0.05
"57","2","hydric","west",2022-06-29,"Al_ug_ml",0.005,0.05
"58","2","hydric","west",2022-06-29,"Ca_ug_ml",1.84,18.4
"59","2","hydric","west",2022-06-29,"Fe_ug_ml",0.35,3.5
"60","2","hydric","west",2022-06-29,"K_ug_ml",0.03,0.3
"61","2","hydric","west",2022-06-29,"Mg_ug_ml",0.21,2.1
"62","2","hydric","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"63","2","hydric","west",2022-06-29,"Na_ug_ml",0.01,0.1
"64","2","hydric","west",2022-06-29,"P_ug_ml",0.005,0.05
"65","3","hydric","west",2022-06-29,"Al_ug_ml",0.01,0.1
"66","3","hydric","west",2022-06-29,"Ca_ug_ml",3.77,37.7
"67","3","hydric","west",2022-06-29,"Fe_ug_ml",0.49,4.9
"68","3","hydric","west",2022-06-29,"K_ug_ml",0.03,0.3
"69","3","hydric","west",2022-06-29,"Mg_ug_ml",0.53,5.3
"70","3","hydric","west",2022-06-29,"Mn_ug_ml",0.03,0.3
"71","3","hydric","west",2022-06-29,"Na_ug_ml",0.04,0.4
"72","3","hydric","west",2022-06-29,"P_ug_ml",0.005,0.05
"73","T1","transect","west",2022-06-29,"Al_ug_ml",0.04,0.4
"74","T1","transect","west",2022-06-29,"Ca_ug_ml",0.48,4.8
"75","T1","transect","west",2022-06-29,"Fe_ug_ml",0.37,3.7
"76","T1","transect","west",2022-06-29,"K_ug_ml",0.1,1
"77","T1","transect","west",2022-06-29,"Mg_ug_ml",0.07,0.7
"78","T1","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"79","T1","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"80","T1","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"81","T2","transect","west",2022-06-29,"Al_ug_ml",0.05,0.5
"82","T2","transect","west",2022-06-29,"Ca_ug_ml",0.53,5.3
"83","T2","transect","west",2022-06-29,"Fe_ug_ml",0.58,5.8
"84","T2","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"85","T2","transect","west",2022-06-29,"Mg_ug_ml",0.07,0.7
"86","T2","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"87","T2","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"88","T2","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"89","T3","transect","west",2022-06-29,"Al_ug_ml",0.03,0.3
"90","T3","transect","west",2022-06-29,"Ca_ug_ml",0.99,9.9
"91","T3","transect","west",2022-06-29,"Fe_ug_ml",0.43,4.3
"92","T3","transect","west",2022-06-29,"K_ug_ml",0.06,0.6
"93","T3","transect","west",2022-06-29,"Mg_ug_ml",0.12,1.2
"94","T3","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"95","T3","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"96","T3","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"97","T4","transect","west",2022-06-29,"Al_ug_ml",0.02,0.2
"98","T4","transect","west",2022-06-29,"Ca_ug_ml",2.21,22.1
"99","T4","transect","west",2022-06-29,"Fe_ug_ml",0.71,7.1
"100","T4","transect","west",2022-06-29,"K_ug_ml",0.06,0.6
"101","T4","transect","west",2022-06-29,"Mg_ug_ml",0.23,2.3
"102","T4","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"103","T4","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"104","T4","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"105","T5","transect","west",2022-06-29,"Al_ug_ml",0.03,0.3
"106","T5","transect","west",2022-06-29,"Ca_ug_ml",1.83,18.3
"107","T5","transect","west",2022-06-29,"Fe_ug_ml",0.81,8.1
"108","T5","transect","west",2022-06-29,"K_ug_ml",0.05,0.5
"109","T5","transect","west",2022-06-29,"Mg_ug_ml",0.29,2.9
"110","T5","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"111","T5","transect","west",2022-06-29,"Na_ug_ml",0.02,0.2
"112","T5","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"113","T6","transect","west",2022-06-29,"Al_ug_ml",0.01,0.1
"114","T6","transect","west",2022-06-29,"Ca_ug_ml",1.26,12.6
"115","T6","transect","west",2022-06-29,"Fe_ug_ml",0.59,5.9
"116","T6","transect","west",2022-06-29,"K_ug_ml",0.04,0.4
"117","T6","transect","west",2022-06-29,"Mg_ug_ml",0.18,1.8
"118","T6","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"119","T6","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"120","T6","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"121","T7","transect","west",2022-06-29,"Al_ug_ml",0.02,0.2
"122","T7","transect","west",2022-06-29,"Ca_ug_ml",1.01,10.1
"123","T7","transect","west",2022-06-29,"Fe_ug_ml",0.5,5
"124","T7","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"125","T7","transect","west",2022-06-29,"Mg_ug_ml",0.17,1.7
"126","T7","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"127","T7","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"128","T7","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"129","T8","transect","west",2022-06-29,"Al_ug_ml",0.005,0.05
"130","T8","transect","west",2022-06-29,"Ca_ug_ml",1.01,10.1
"131","T8","transect","west",2022-06-29,"Fe_ug_ml",0.45,4.5
"132","T8","transect","west",2022-06-29,"K_ug_ml",0.02,0.2
"133","T8","transect","west",2022-06-29,"Mg_ug_ml",0.16,1.6
"134","T8","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"135","T8","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"136","T8","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"137","T9","transect","west",2022-06-29,"Al_ug_ml",0.01,0.1
"138","T9","transect","west",2022-06-29,"Ca_ug_ml",0.93,9.3
"139","T9","transect","west",2022-06-29,"Fe_ug_ml",1.45,14.5
"140","T9","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"141","T9","transect","west",2022-06-29,"Mg_ug_ml",0.16,1.6
"142","T9","transect","west",2022-06-29,"Mn_ug_ml",0.02,0.2
"143","T9","transect","west",2022-06-29,"Na_ug_ml",0.03,0.3
"144","T9","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"145","T10","transect","west",2022-06-29,"Al_ug_ml",0.005,0.05
"146","T10","transect","west",2022-06-29,"Ca_ug_ml",0.87,8.7
"147","T10","transect","west",2022-06-29,"Fe_ug_ml",0.45,4.5
"148","T10","transect","west",2022-06-29,"K_ug_ml",0.02,0.2
"149","T10","transect","west",2022-06-29,"Mg_ug_ml",0.14,1.4
"150","T10","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"151","T10","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"152","T10","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"153","T11","transect","west",2022-06-29,"Al_ug_ml",0.01,0.1
"154","T11","transect","west",2022-06-29,"Ca_ug_ml",0.64,6.4
"155","T11","transect","west",2022-06-29,"Fe_ug_ml",0.52,5.2
"156","T11","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"157","T11","transect","west",2022-06-29,"Mg_ug_ml",0.09,0.9
"158","T11","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"159","T11","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"160","T11","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"161","T12","transect","west",2022-06-29,"Al_ug_ml",0.01,0.1
"162","T12","transect","west",2022-06-29,"Ca_ug_ml",3.06,30.6
"163","T12","transect","west",2022-06-29,"Fe_ug_ml",0.43,4.3
"164","T12","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"165","T12","transect","west",2022-06-29,"Mg_ug_ml",0.42,4.2
"166","T12","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"167","T12","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"168","T12","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"169","T13","transect","west",2022-06-29,"Al_ug_ml",0.01,0.1
"170","T13","transect","west",2022-06-29,"Ca_ug_ml",2.39,23.9
"171","T13","transect","west",2022-06-29,"Fe_ug_ml",0.49,4.9
"172","T13","transect","west",2022-06-29,"K_ug_ml",0.03,0.3
"173","T13","transect","west",2022-06-29,"Mg_ug_ml",0.33,3.3
"174","T13","transect","west",2022-06-29,"Mn_ug_ml",0.01,0.1
"175","T13","transect","west",2022-06-29,"Na_ug_ml",0.01,0.1
"176","T13","transect","west",2022-06-29,"P_ug_ml",0.005,0.05
"177","1","dry","east",2022-07-18,"Al_ug_ml",0.02,0.2
"178","1","dry","east",2022-07-18,"Ca_ug_ml",1.18,11.8
"179","1","dry","east",2022-07-18,"Fe_ug_ml",0.04,0.4
"180","1","dry","east",2022-07-18,"K_ug_ml",0.02,0.2
"181","1","dry","east",2022-07-18,"Mg_ug_ml",0.13,1.3
"182","1","dry","east",2022-07-18,"Mn_ug_ml",0.0025,0.025
"183","1","dry","east",2022-07-18,"Na_ug_ml",0.005,0.05
"184","1","dry","east",2022-07-18,"P_ug_ml",0.005,0.05
"185","2","dry","east",2022-07-18,"Al_ug_ml",0.05,0.5
"186","2","dry","east",2022-07-18,"Ca_ug_ml",0.54,5.4
"187","2","dry","east",2022-07-18,"Fe_ug_ml",0.24,2.4
"188","2","dry","east",2022-07-18,"K_ug_ml",0.03,0.3
"189","2","dry","east",2022-07-18,"Mg_ug_ml",0.07,0.7
"190","2","dry","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"191","2","dry","east",2022-07-18,"Na_ug_ml",0.01,0.1
"192","2","dry","east",2022-07-18,"P_ug_ml",0.005,0.05
"193","3","dry","east",2022-07-18,"Al_ug_ml",0.05,0.5
"194","3","dry","east",2022-07-18,"Ca_ug_ml",0.52,5.2
"195","3","dry","east",2022-07-18,"Fe_ug_ml",0.04,0.4
"196","3","dry","east",2022-07-18,"K_ug_ml",0.04,0.4
"197","3","dry","east",2022-07-18,"Mg_ug_ml",0.1,1
"198","3","dry","east",2022-07-18,"Mn_ug_ml",0.02,0.2
"199","3","dry","east",2022-07-18,"Na_ug_ml",0.03,0.3
"200","3","dry","east",2022-07-18,"P_ug_ml",0.005,0.05
"201","1","mesic","east",2022-07-18,"Al_ug_ml",0.04,0.4
"202","1","mesic","east",2022-07-18,"Ca_ug_ml",0.34,3.4
"203","1","mesic","east",2022-07-18,"Fe_ug_ml",0.21,2.1
"204","1","mesic","east",2022-07-18,"K_ug_ml",0.04,0.4
"205","1","mesic","east",2022-07-18,"Mg_ug_ml",0.08,0.8
"206","1","mesic","east",2022-07-18,"Mn_ug_ml",0.0025,0.025
"207","1","mesic","east",2022-07-18,"Na_ug_ml",0.005,0.05
"208","1","mesic","east",2022-07-18,"P_ug_ml",0.005,0.05
"209","2","mesic","east",2022-07-18,"Al_ug_ml",0.08,0.8
"210","2","mesic","east",2022-07-18,"Ca_ug_ml",0.89,8.9
"211","2","mesic","east",2022-07-18,"Fe_ug_ml",0.92,9.2
"212","2","mesic","east",2022-07-18,"K_ug_ml",0.24,2.4
"213","2","mesic","east",2022-07-18,"Mg_ug_ml",0.21,2.1
"214","2","mesic","east",2022-07-18,"Mn_ug_ml",0.04,0.4
"215","2","mesic","east",2022-07-18,"Na_ug_ml",0.05,0.5
"216","2","mesic","east",2022-07-18,"P_ug_ml",0.005,0.05
"217","3","mesic","east",2022-07-18,"Al_ug_ml",0.03,0.3
"218","3","mesic","east",2022-07-18,"Ca_ug_ml",0.43,4.3
"219","3","mesic","east",2022-07-18,"Fe_ug_ml",1.33,13.3
"220","3","mesic","east",2022-07-18,"K_ug_ml",0.15,1.5
"221","3","mesic","east",2022-07-18,"Mg_ug_ml",0.09,0.9
"222","3","mesic","east",2022-07-18,"Mn_ug_ml",0.03,0.3
"223","3","mesic","east",2022-07-18,"Na_ug_ml",0.04,0.4
"224","3","mesic","east",2022-07-18,"P_ug_ml",0.005,0.05
"225","1","hydric","east",2022-07-18,"Al_ug_ml",0.04,0.4
"226","1","hydric","east",2022-07-18,"Ca_ug_ml",0.31,3.1
"227","1","hydric","east",2022-07-18,"Fe_ug_ml",0.2,2
"228","1","hydric","east",2022-07-18,"K_ug_ml",0.03,0.3
"229","1","hydric","east",2022-07-18,"Mg_ug_ml",0.07,0.7
"230","1","hydric","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"231","1","hydric","east",2022-07-18,"Na_ug_ml",0.01,0.1
"232","1","hydric","east",2022-07-18,"P_ug_ml",0.005,0.05
"233","2","hydric","east",2022-07-18,"Al_ug_ml",0.05,0.5
"234","2","hydric","east",2022-07-18,"Ca_ug_ml",0.53,5.3
"235","2","hydric","east",2022-07-18,"Fe_ug_ml",0.34,3.4
"236","2","hydric","east",2022-07-18,"K_ug_ml",0.04,0.4
"237","2","hydric","east",2022-07-18,"Mg_ug_ml",0.1,1
"238","2","hydric","east",2022-07-18,"Mn_ug_ml",0.04,0.4
"239","2","hydric","east",2022-07-18,"Na_ug_ml",0.05,0.5
"240","2","hydric","east",2022-07-18,"P_ug_ml",0.005,0.05
"241","3","hydric","east",2022-07-18,"Al_ug_ml",0.06,0.6
"242","3","hydric","east",2022-07-18,"Ca_ug_ml",0.77,7.7
"243","3","hydric","east",2022-07-18,"Fe_ug_ml",0.67,6.7
"244","3","hydric","east",2022-07-18,"K_ug_ml",0.09,0.9
"245","3","hydric","east",2022-07-18,"Mg_ug_ml",0.17,1.7
"246","3","hydric","east",2022-07-18,"Mn_ug_ml",0.64,6.4
"247","3","hydric","east",2022-07-18,"Na_ug_ml",0.83,8.3
"248","3","hydric","east",2022-07-18,"P_ug_ml",0.005,0.05
"249","T1","transect","east",2022-07-18,"Al_ug_ml",0.05,0.5
"250","T1","transect","east",2022-07-18,"Ca_ug_ml",0.41,4.1
"251","T1","transect","east",2022-07-18,"Fe_ug_ml",0.27,2.7
"252","T1","transect","east",2022-07-18,"K_ug_ml",0.03,0.3
"253","T1","transect","east",2022-07-18,"Mg_ug_ml",0.07,0.7
"254","T1","transect","east",2022-07-18,"Mn_ug_ml",0.0025,0.025
"255","T1","transect","east",2022-07-18,"Na_ug_ml",0.005,0.05
"256","T1","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"257","T2","transect","east",2022-07-18,"Al_ug_ml",0.03,0.3
"258","T2","transect","east",2022-07-18,"Ca_ug_ml",0.69,6.9
"259","T2","transect","east",2022-07-18,"Fe_ug_ml",0.18,1.8
"260","T2","transect","east",2022-07-18,"K_ug_ml",0.04,0.4
"261","T2","transect","east",2022-07-18,"Mg_ug_ml",0.12,1.2
"262","T2","transect","east",2022-07-18,"Mn_ug_ml",0.0025,0.025
"263","T2","transect","east",2022-07-18,"Na_ug_ml",0.005,0.05
"264","T2","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"265","T3","transect","east",2022-07-18,"Al_ug_ml",0.04,0.4
"266","T3","transect","east",2022-07-18,"Ca_ug_ml",0.91,9.1
"267","T3","transect","east",2022-07-18,"Fe_ug_ml",0.19,1.9
"268","T3","transect","east",2022-07-18,"K_ug_ml",0.06,0.6
"269","T3","transect","east",2022-07-18,"Mg_ug_ml",0.13,1.3
"270","T3","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"271","T3","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"272","T3","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"273","T4","transect","east",2022-07-18,"Al_ug_ml",0.005,0.05
"274","T4","transect","east",2022-07-18,"Ca_ug_ml",0.27,2.7
"275","T4","transect","east",2022-07-18,"Fe_ug_ml",0.12,1.2
"276","T4","transect","east",2022-07-18,"K_ug_ml",0.16,1.6
"277","T4","transect","east",2022-07-18,"Mg_ug_ml",0.03,0.3
"278","T4","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"279","T4","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"280","T4","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"281","T5","transect","east",2022-07-18,"Al_ug_ml",0.03,0.3
"282","T5","transect","east",2022-07-18,"Ca_ug_ml",0.5,5
"283","T5","transect","east",2022-07-18,"Fe_ug_ml",0.09,0.9
"284","T5","transect","east",2022-07-18,"K_ug_ml",0.73,7.3
"285","T5","transect","east",2022-07-18,"Mg_ug_ml",0.1,1
"286","T5","transect","east",2022-07-18,"Mn_ug_ml",0.06,0.6
"287","T5","transect","east",2022-07-18,"Na_ug_ml",0.07,0.7
"288","T5","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"289","T6","transect","east",2022-07-18,"Al_ug_ml",0.06,0.6
"290","T6","transect","east",2022-07-18,"Ca_ug_ml",0.4,4
"291","T6","transect","east",2022-07-18,"Fe_ug_ml",0.44,4.4
"292","T6","transect","east",2022-07-18,"K_ug_ml",0.09,0.9
"293","T6","transect","east",2022-07-18,"Mg_ug_ml",0.1,1
"294","T6","transect","east",2022-07-18,"Mn_ug_ml",0.11,1.1
"295","T6","transect","east",2022-07-18,"Na_ug_ml",0.15,1.5
"296","T6","transect","east",2022-07-18,"P_ug_ml",0.01,0.1
"297","T7","transect","east",2022-07-18,"Al_ug_ml",0.07,0.7
"298","T7","transect","east",2022-07-18,"Ca_ug_ml",0.37,3.7
"299","T7","transect","east",2022-07-18,"Fe_ug_ml",0.09,0.9
"300","T7","transect","east",2022-07-18,"K_ug_ml",0.03,0.3
"301","T7","transect","east",2022-07-18,"Mg_ug_ml",0.09,0.9
"302","T7","transect","east",2022-07-18,"Mn_ug_ml",0.02,0.2
"303","T7","transect","east",2022-07-18,"Na_ug_ml",0.03,0.3
"304","T7","transect","east",2022-07-18,"P_ug_ml",0.01,0.1
"305","T8","transect","east",2022-07-18,"Al_ug_ml",0.06,0.6
"306","T8","transect","east",2022-07-18,"Ca_ug_ml",0.68,6.8
"307","T8","transect","east",2022-07-18,"Fe_ug_ml",0.33,3.3
"308","T8","transect","east",2022-07-18,"K_ug_ml",0.07,0.7
"309","T8","transect","east",2022-07-18,"Mg_ug_ml",0.16,1.6
"310","T8","transect","east",2022-07-18,"Mn_ug_ml",0.04,0.4
"311","T8","transect","east",2022-07-18,"Na_ug_ml",0.05,0.5
"312","T8","transect","east",2022-07-18,"P_ug_ml",0.01,0.1
"313","T9","transect","east",2022-07-18,"Al_ug_ml",0.04,0.4
"314","T9","transect","east",2022-07-18,"Ca_ug_ml",0.3,3
"315","T9","transect","east",2022-07-18,"Fe_ug_ml",0.21,2.1
"316","T9","transect","east",2022-07-18,"K_ug_ml",0.05,0.5
"317","T9","transect","east",2022-07-18,"Mg_ug_ml",0.08,0.8
"318","T9","transect","east",2022-07-18,"Mn_ug_ml",0.0025,0.025
"319","T9","transect","east",2022-07-18,"Na_ug_ml",0.005,0.05
"320","T9","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"321","T10","transect","east",2022-07-18,"Al_ug_ml",0.06,0.6
"322","T10","transect","east",2022-07-18,"Ca_ug_ml",0.4,4
"323","T10","transect","east",2022-07-18,"Fe_ug_ml",0.25,2.5
"324","T10","transect","east",2022-07-18,"K_ug_ml",0.05,0.5
"325","T10","transect","east",2022-07-18,"Mg_ug_ml",0.1,1
"326","T10","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"327","T10","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"328","T10","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"329","T11","transect","east",2022-07-18,"Al_ug_ml",0.04,0.4
"330","T11","transect","east",2022-07-18,"Ca_ug_ml",0.49,4.9
"331","T11","transect","east",2022-07-18,"Fe_ug_ml",0.16,1.6
"332","T11","transect","east",2022-07-18,"K_ug_ml",0.03,0.3
"333","T11","transect","east",2022-07-18,"Mg_ug_ml",0.11,1.1
"334","T11","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"335","T11","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"336","T11","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"337","T12","transect","east",2022-07-18,"Al_ug_ml",0.05,0.5
"338","T12","transect","east",2022-07-18,"Ca_ug_ml",0.31,3.1
"339","T12","transect","east",2022-07-18,"Fe_ug_ml",0.22,2.2
"340","T12","transect","east",2022-07-18,"K_ug_ml",0.03,0.3
"341","T12","transect","east",2022-07-18,"Mg_ug_ml",0.08,0.8
"342","T12","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"343","T12","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"344","T12","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"345","T13","transect","east",2022-07-18,"Al_ug_ml",0.04,0.4
"346","T13","transect","east",2022-07-18,"Ca_ug_ml",0.4,4
"347","T13","transect","east",2022-07-18,"Fe_ug_ml",0.21,2.1
"348","T13","transect","east",2022-07-18,"K_ug_ml",0.3,3
"349","T13","transect","east",2022-07-18,"Mg_ug_ml",0.08,0.8
"350","T13","transect","east",2022-07-18,"Mn_ug_ml",0.01,0.1
"351","T13","transect","east",2022-07-18,"Na_ug_ml",0.01,0.1
"352","T13","transect","east",2022-07-18,"P_ug_ml",0.005,0.05
"353","1","dry","west",2022-07-19,"Al_ug_ml",0.005,0.05
"354","1","dry","west",2022-07-19,"Ca_ug_ml",1.71,17.1
"355","1","dry","west",2022-07-19,"Fe_ug_ml",0.09,0.9
"356","1","dry","west",2022-07-19,"K_ug_ml",0.02,0.2
"357","1","dry","west",2022-07-19,"Mg_ug_ml",0.23,2.3
"358","1","dry","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"359","1","dry","west",2022-07-19,"Na_ug_ml",0.005,0.05
"360","1","dry","west",2022-07-19,"P_ug_ml",0.005,0.05
"361","2","dry","west",2022-07-19,"Al_ug_ml",0.01,0.1
"362","2","dry","west",2022-07-19,"Ca_ug_ml",1.17,11.7
"363","2","dry","west",2022-07-19,"Fe_ug_ml",0.08,0.8
"364","2","dry","west",2022-07-19,"K_ug_ml",0.02,0.2
"365","2","dry","west",2022-07-19,"Mg_ug_ml",0.14,1.4
"366","2","dry","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"367","2","dry","west",2022-07-19,"Na_ug_ml",0.005,0.05
"368","2","dry","west",2022-07-19,"P_ug_ml",0.005,0.05
"369","3","dry","west",2022-07-19,"Al_ug_ml",0.005,0.05
"370","3","dry","west",2022-07-19,"Ca_ug_ml",0.93,9.3
"371","3","dry","west",2022-07-19,"Fe_ug_ml",0.01,0.1
"372","3","dry","west",2022-07-19,"K_ug_ml",0.02,0.2
"373","3","dry","west",2022-07-19,"Mg_ug_ml",0.1,1
"374","3","dry","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"375","3","dry","west",2022-07-19,"Na_ug_ml",0.005,0.05
"376","3","dry","west",2022-07-19,"P_ug_ml",0.005,0.05
"377","1","mesic","west",2022-07-19,"Al_ug_ml",0.005,0.05
"378","1","mesic","west",2022-07-19,"Ca_ug_ml",1.43,14.3
"379","1","mesic","west",2022-07-19,"Fe_ug_ml",0.01,0.1
"380","1","mesic","west",2022-07-19,"K_ug_ml",0.01,0.1
"381","1","mesic","west",2022-07-19,"Mg_ug_ml",0.17,1.7
"382","1","mesic","west",2022-07-19,"Mn_ug_ml",0.0025,0.025
"383","1","mesic","west",2022-07-19,"Na_ug_ml",0.005,0.05
"384","1","mesic","west",2022-07-19,"P_ug_ml",0.005,0.05
"385","2","mesic","west",2022-07-19,"Al_ug_ml",0.005,0.05
"386","2","mesic","west",2022-07-19,"Ca_ug_ml",0.91,9.1
"387","2","mesic","west",2022-07-19,"Fe_ug_ml",0.02,0.2
